doi	process_id	canonical_title	organism	circuit_class	ground_truth
	arabidopsis_aba_guard_cell	Regulators of PP2C phosphatase activity function as receptors for abscisic acid	Arabidopsis thaliana	II	yes
	arabidopsis_circadian_clock	Reciprocal regulation between TOC1 and LHY/CCA1 within the Arabidopsis circadian clock	Arabidopsis thaliana	IV	yes
	arabidopsis_flc_vernalization	Vernalization requires epigenetic silencing of FLC by histone methylation	Arabidopsis thaliana	V	yes
	bacillus_biofilm_formation	Biofilm formation in Bacillus subtilis	Bacillus subtilis	III	no
	bacillus_comk_competence	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Bacillus subtilis	III	yes
	bacillus_competence_development	Bistability in bacteria	Bacillus subtilis	III	no
	bacillus_spo0a_sporulation	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Bacillus subtilis	III	yes
	bacillus_sporulation_initiation	Regulation of the phosphorelay and the initiation of sporulation in Bacillus subtilis	Bacillus subtilis	III	no
	celegans_dauer_decision	Dauer	Caenorhabditis elegans	III	yes
	celegans_heterochronic_clock	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14	Caenorhabditis elegans	I	yes
	drosophila_gap_gene_network	The gap gene network	Drosophila melanogaster	III	yes
	drosophila_segment_polarity	The segment polarity network is a robust developmental module	Drosophila melanogaster	III	yes
	ecoli_amino_acid_biosynthesis	Biosynthesis of amino acids	E. coli	II	no
	ecoli_anaerobic_respiration	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	E. coli	II	no
	ecoli_antibiotic_efflux_pumps	A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli.	E. coli	I	no
	ecoli_ara_operon	Positive and negative control of the arabinose operon	E. coli	III	no
	ecoli_arginine_biosynthesis	The arginine repressor of Escherichia coli	E. coli	II	no
	ecoli_base_excision_repair	Base excision repair of oxidative DNA damage	E. coli	I	no
	ecoli_catabolite_repression	Catabolite repression and the lac operon	E. coli	II	no
	ecoli_cell_division	FtsZ filament structure reveals the structural basis for assembly dynamics and constriction force generation	E. coli	I	no
	ecoli_cold_shock_response	An in-silico study to understand the effect of lineage diversity on cold shock response: unveiling protein-RNA interactions among paralogous CSPs of E. coli.	E. coli	II	no
	ecoli_dna_damage_checkpoint	The SOS regulatory system of Escherichia coli	E. coli	II	no
	ecoli_dna_replication_elongation	The bacterial replisome: back on track?	E. coli	I	no
	ecoli_dna_replication_initiation	Bacterial replication initiation: DnaA protein controls oriC	E. coli	I	no
	ecoli_dna_replication_termination	Termination of DNA replication in Escherichia coli	E. coli	I	no
	ecoli_e._coli_acid_resistance	Acid resistance in E. coli	E. coli	II	no
	ecoli_e._coli_flagellar_assembly	TnpB homologues exapted from transposons are RNA-guided transcription factors.	E. coli	I	no
	ecoli_e._coli_heat_shock_response	Heat shock response in E. coli	E. coli	II	no
	ecoli_e._coli_osmotic_stress_response	Osmotic Stress.	E. coli	II	no
	ecoli_e._coli_stringent_response	The Stringent Response Inhibits DNA Replication Initiation in E. coli by Modulating Supercoiling of oriC.	E. coli	II	no
	ecoli_e._coli_two_component_signaling	Two-component signal transduction	E. coli	II	no
	ecoli_envelope_stress_response	Envelope-Stress Sensing Mechanism of Rcs and Cpx Signaling Pathways in Gram-Negative Bacteria.	E. coli	II	no
	ecoli_fatty_acid_degradation	Fatty acid degradation in Escherichia coli	E. coli	I	no
	ecoli_fatty_acid_synthesis	Forty years of bacterial fatty acid synthesis	E. coli	I	no
	ecoli_flagellar_assembly	Coupling of flagellar gene expression to flagellar assembly in Salmonella enterica serovar typhimurium and Escherichia coli	E. coli	I	no
	ecoli_flhdc_flagellar	Ordering genes in a flagella pathway by analysis of expression kinetics from living bacteria	E. coli	I	yes
	ecoli_glycolysis	Glycolysis	E. coli	I	no
	ecoli_heat_shock_response	Regulation of the heat shock response	E. coli	II	no
	ecoli_heavy_metal_resistance	The CusABC efflux system removes toxic ions via a methionine shuttle	E. coli	II	no
	ecoli_homologous_recombination	Recombinational DNA repair in bacteria and the RecBCD pathway	E. coli	I	no
	ecoli_iron_homeostasis	Increasing dissolved-oxygen disrupts iron homeostasis in production cultures of Escherichia coli.	E. coli	II	no
	ecoli_lac_operon	Genetic regulatory mechanisms in the synthesis of proteins	E. coli	II	no
	ecoli_lambda_switch	Stochastic kinetic analysis of developmental pathway bifurcation in phage lambda-infected Escherichia coli cells	Bacteriophage lambda	III	yes
	ecoli_mal_regulon	The MalT-dependent transcriptional activation of the maltose regulon	E. coli	II	no
	ecoli_mismatch_repair	Mismatch repair in replication fidelity, genetic recombination, and cancer biology	E. coli	I	no
	ecoli_nitrogen_assimilation	Nitrogen regulation in bacteria and archaea	E. coli	II	no
	ecoli_nucleotide_biosynthesis	Nucleotide metabolism	E. coli	II	no
	ecoli_nucleotide_excision_repair	Nucleotide excision repair in E. coli	E. coli	I	no
	ecoli_outer_membrane_assembly	The BAM complex in outer membrane protein biogenesis	E. coli	I	no
	ecoli_oxidative_stress_response	OxyR: a regulator of antioxidant genes	E. coli	II	no
	ecoli_pentose_phosphate_pathway	The pentose phosphate pathway	E. coli	I	no
	ecoli_periplasmic_stress	The periplasmic folding factor CpxP modulates the Cpx response	E. coli	II	no
	ecoli_phage_defense	CRISPR-Cas systems in bacteria and archaea	E. coli	I	no
	ecoli_pho_regulon	Phosphate assimilation and control of alkaline phosphatase synthesis in Escherichia coli	E. coli	II	no
	ecoli_phosphate_regulation	Regulation of phosphate starvation-specific responses in Escherichia coli.	E. coli	II	no
	ecoli_phosphate_transport	Phosphate assimilation in E. coli	E. coli	I	no
	ecoli_protein_folding_chaperones	Production of Biopharmaceuticals in E. coli: Current Scenario and Future Perspectives.	E. coli	I	no
	ecoli_ribosome_assembly	Structure of the 30S ribosomal subunit	E. coli	I	no
	ecoli_rna_polymerase_recycling	Mechanism of transcription termination by E. coli RNA polymerase	E. coli	I	no
	ecoli_sigma_factor_competition	Sigma factor selectivity in Escherichia coli: role for CRP, IHF and Lrp transcription factors	E. coli	II	no
