process_id	organism	circuit_class	total_nodes	loops	detail_level	priority
yeast_autophagy	S. cerevisiae	I	80	62	detailed	high
ecoli_tca_cycle	E. coli	I	83	56	detailed	high
yeast_unfolded_protein_response	S. cerevisiae	II	76	51	detailed	high
ecoli_phosphate_transport	E. coli	I	68	48	detailed	high
yeast_nitrogen_metabolism	S. cerevisiae	II	63	44	detailed	high
ecoli_transcription_elongation	E. coli	I	58	44	detailed	high
ecoli_translation_elongation	E. coli	I	54	44	detailed	high
yeast_osmotic_stress_response	S. cerevisiae	II	63	42	detailed	high
ecoli_translation_initiation	E. coli	I	82	41	detailed	high
ecoli_tryptophan_biosynthesis	E. coli	II	68	41	detailed	high
ecoli_dna_replication_elongation	E. coli	I	64	41	detailed	high
yeast_alcoholic_fermentation	S. cerevisiae	I	74	40		high
ecoli_sigma_factor_competition	E. coli	II	71	39	detailed	high
ecoli_sos_response	E. coli	II	74	38	detailed	high
ecoli_phosphate_regulation	E. coli	II	67	35	detailed	high
ecoli_cell_division	E. coli	I	79	33	detailed	high
ecoli_sulfur_metabolism	E. coli	II	73	28	detailed	high
ecoli_fatty_acid_synthesis	E. coli	I	55	27	detailed	high
ecoli_iron_homeostasis	E. coli	II	58	23	detailed	high
ecoli_chemotaxis	E. coli	II	64	22	detailed	high
ecoli_rna_polymerase_recycling	E. coli	I	52	21	detailed	high
ecoli_pho_regulon	E. coli	II	60	19	detailed	high
ecoli_mal_regulon	E. coli	II	59	18	detailed	high
yeast_cell_cycle_control	S. cerevisiae	IV	22	18	detailed	high
ecoli_quorum_sensing	E. coli	III	51	16	detailed	high
ecoli_aerobic_respiration	E. coli	I	80	15		high
ecoli_fatty_acid_degradation	E. coli	I	68	14	detailed	medium
ecoli_nucleotide_excision_repair	E. coli	I	81	13	detailed	medium
yeast_protein_folding	S. cerevisiae	I	62	13	detailed	medium
ecoli_dna_replication_termination	E. coli	I	69	11	detailed	medium
ecoli_oxidative_stress_response	E. coli	II	77	9	detailed	medium
ecoli_biofilm_formation	E. coli	III	65	8	detailed	medium
ecoli_type_iii_secretion	E. coli	I	64	8	detailed	medium
ecoli_translation_termination	E. coli	I	61	8	detailed	medium
yeast_cell_cycle_checkpoints	S. cerevisiae	IV	89	7		medium
ecoli_mismatch_repair	E. coli	I	95	6	detailed	medium
ecoli_homologous_recombination	E. coli	I	80	5	detailed	medium
yeast_chromatin_silencing	S. cerevisiae	V	78	5	detailed	medium
ecoli_base_excision_repair	E. coli	I	67	5	detailed	medium
ecoli_flagellar_assembly	E. coli	I	65	5	detailed	medium
ecoli_heavy_metal_resistance	E. coli	II	96	4	detailed	low
yeast_hog_pathway	S. cerevisiae	II	94	4	detailed	low
ecoli_transcription_termination	E. coli	I	64	4	detailed	low
yeast_ubiquitin_proteasome	S. cerevisiae	I	62	4	detailed	low
bacillus_germination	Bacillus subtilis	III	85	3		low
yeast_mating_response	S. cerevisiae	III	82	3	detailed	low
yeast_snf1_pathway	S. cerevisiae	II	69	3	detailed	low
yeast_er_stress_response	S. cerevisiae	II	68	3	detailed	low
yeast_tor_signaling	S. cerevisiae	II	91	2	detailed	low
ecoli_anaerobic_respiration	E. coli	II	84	2	detailed	low
ecoli_glycolysis	E. coli	I	80	2	detailed	low
ecoli_periplasmic_stress	E. coli	II	76	2	detailed	low
ecoli_starvation_response	E. coli	II	92	0	detailed	low
ecoli_dna_damage_checkpoint	E. coli	II	86	0	detailed	low
yeast_cell_wall_integrity	S. cerevisiae	II	85	0	detailed	low
yeast_aerobic_respiration	S. cerevisiae	I	84	0		low
ecoli_amino_acid_biosynthesis	E. coli	II	83	0	detailed	low
yeast_gcn4_starvation	S. cerevisiae	II	80	0	detailed	low
yeast_rna_splicing	S. cerevisiae	I	80	0	detailed	low
yeast_vesicle_trafficking	S. cerevisiae	I	79	0	detailed	low
ecoli_nucleotide_biosynthesis	E. coli	II	78	0	detailed	low
yeast_pka_pathway	S. cerevisiae	II	78	0	detailed	low
yeast_mapk_mating	S. cerevisiae	III	77	0	detailed	low
yeast_mitochondrial_import	S. cerevisiae	I	75	0	detailed	low
ecoli_e._coli_heat_shock_response	E. coli	II	72	0	detailed	low
ecoli_outer_membrane_assembly	E. coli	I	72	0	detailed	low
ecoli_phage_defense	E. coli	I	69	0	detailed	low
ecoli_e._coli_acid_resistance	E. coli	II	68	0	detailed	low
yeast_glycolysis	S. cerevisiae	I	68	0	detailed	low
