chart_id	chart_title	pmid	doi	title	authors	year	url	raw_citation
arabidopsis_aba_guard_cell	ABA Guard-Cell Stomatal Homeostat	19407143	10.1126/science.1172408	Regulators of PP2C phosphatase activity function as receptors for abscisic acid	Ma Y, Szostkiewicz I, Korte A, et al.	2009		"Ma Y, Szostkiewicz I, Korte A, et al.. ""Regulators of PP2C phosphatase activity function as receptors for abscisic acid"". Science. 2009. PubMed: 19407143. doi:10.1126/science.1172408"
arabidopsis_aba_guard_cell	ABA Guard-Cell Stomatal Homeostat	20192755	10.1146/annurev-arplant-042809-112122	Abscisic acid: emergence of a core signaling network	Cutler SR, Rodriguez PL, Finkelstein RR, Abrams SR	2010		"Cutler SR, Rodriguez PL, Finkelstein RR, Abrams SR. ""Abscisic acid: emergence of a core signaling network"". Annual Review of Plant Biology. 2010. PubMed: 20192755. doi:10.1146/annurev-arplant-042809-112122"
arabidopsis_circadian_clock	Arabidopsis Circadian Clock (CCA1/LHY–TOC1)	11486091	10.1126/science.1061320	Reciprocal regulation between TOC1 and LHY/CCA1 within the Arabidopsis circadian clock	Alabadí D, Oyama T, Yanovsky MJ, Harmon FG, Más P, Kay SA	2001		"Alabadí D, Oyama T, Yanovsky MJ, Harmon FG, Más P, Kay SA. ""Reciprocal regulation between TOC1 and LHY/CCA1 within the Arabidopsis circadian clock"". Science. 2001. PubMed: 11486091. doi:10.1126/science.1061320"
arabidopsis_flc_vernalization	FLC Vernalization Epigenetic Memory	14712277	10.1038/nature02269	Vernalization requires epigenetic silencing of FLC by histone methylation	Bastow R, Mylne JS, Lister C, Lippman Z, Martienssen RA, Dean C	2004		"Bastow R, Mylne JS, Lister C, Lippman Z, Martienssen RA, Dean C. ""Vernalization requires epigenetic silencing of FLC by histone methylation"". Nature. 2004. PubMed: 14712277. doi:10.1038/nature02269"
arabidopsis_flc_vernalization	FLC Vernalization Epigenetic Memory	21785438	10.1038/nature10241	A Polycomb-based switch underlying quantitative epigenetic memory	Angel A, Song J, Dean C, Howard M	2011		"Angel A, Song J, Dean C, Howard M. ""A Polycomb-based switch underlying quantitative epigenetic memory"". Nature. 2011. PubMed: 21785438. doi:10.1038/nature10241"
bacillus_biofilm_formation	Biofilm Formation and Matrix Production	23979428	10.1038/nrmicro3103	Biofilm formation in Bacillus subtilis	Vlamakis H, Chai Y, Beauregard P, Losick R, Kolter R	2013		"Vlamakis H, Chai Y, Beauregard P, Losick R, Kolter R. ""Biofilm formation in Bacillus subtilis"". Nat Rev Microbiol. 2013. PubMed: 23979428. doi:10.1038/nrmicro3103"
bacillus_comk_competence	ComK Competence Bistable Switch	15819619	10.1111/j.1365-2958.2005.04592.x	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	2005		"Maamar H, Dubnau D. ""Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop"". Molecular Microbiology. 2005. PubMed: 15819619. doi:10.1111/j.1365-2958.2005.04592.x"
bacillus_comk_competence	ComK Competence Bistable Switch	16554821	10.1038/nature04588	An excitable gene regulatory circuit induces transient cellular differentiation	Süel GM, Garcia-Ojalvo J, Liberman LM, Elowitz MB	2006		"Süel GM, Garcia-Ojalvo J, Liberman LM, Elowitz MB. ""An excitable gene regulatory circuit induces transient cellular differentiation"". Nature. 2006. PubMed: 16554821. doi:10.1038/nature04588"
bacillus_competence_development	Competence Development and DNA Uptake	16879639	10.1111/j.1365-2958.2006.05249.x	Bistability in bacteria	Dubnau D, Losick R	2006		"Dubnau D, Losick R. ""Bistability in bacteria"". Molecular Microbiology. 2006. PubMed: 16879639. doi:10.1111/j.1365-2958.2006.05249.x"
bacillus_competence_development	Competence Development and DNA Uptake	15819619	10.1111/j.1365-2958.2005.04592.x	Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop	Maamar H, Dubnau D	2005		"Maamar H, Dubnau D. ""Bistability in the Bacillus subtilis K-state (competence) system requires a positive feedback loop"". Molecular Microbiology. 2005. PubMed: 15819619. doi:10.1111/j.1365-2958.2005.04592.x"
bacillus_competence_development	Competence Development and DNA Uptake	12576575	10.1099/mic.0.26003-0	Controlling competence in Bacillus subtilis: shared use of regulators	Hamoen LW, Venema G, Kuipers OP	2003		"Hamoen LW, Venema G, Kuipers OP. ""Controlling competence in Bacillus subtilis: shared use of regulators"". Microbiology. 2003. PubMed: 12576575. doi:10.1099/mic.0.26003-0"
bacillus_competence_development	Competence Development and DNA Uptake	15083159	10.1038/nrmicro844	DNA uptake during bacterial transformation	Chen I, Dubnau D	2004		"Chen I, Dubnau D. ""DNA uptake during bacterial transformation"". Nature Reviews Microbiology. 2004. PubMed: 15083159. doi:10.1038/nrmicro844"
bacillus_spo0a_sporulation	Spo0A Phosphorelay Sporulation Commitment	1846779	10.1016/0092-8674(91)90238-T	Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay	Burbulys D, Trach KA, Hoch JA	1991		"Burbulys D, Trach KA, Hoch JA. ""Initiation of sporulation in B. subtilis is controlled by a multicomponent phosphorelay"". Cell. 1991. PubMed: 1846779. doi:10.1016/0092-8674(91)90238-T"
