chart_id	circuitClass	loops	feedback_loops	feedback_loops_gates_reg	feedback_loop_nodes	feedback_loop_nodes_gates_reg	n_gate_cycle_edges	gate_treatment_invariant
arabidopsis_aba_guard_cell	II	6	1	1	6	6	0	true
arabidopsis_circadian_clock	IV	4	1	1	4	4	0	true
arabidopsis_flc_vernalization	V	3	1	1	3	3	0	true
bacillus_comk_competence	III	2	1	1	2	2	0	true
bacillus_germination	III	3	0	1	0	3	1	false
bacillus_spo0a_sporulation	III	4	1	1	4	4	1	true
celegans_dauer_decision	III	2	1	1	2	2	0	true
drosophila_gap_gene_network	III	5	4	4	5	5	0	true
drosophila_segment_polarity	III	6	2	2	6	6	0	true
ecoli_aerobic_respiration	I	15	0	0	0	0	0	true
ecoli_anaerobic_respiration	II	2	0	1	0	2	1	false
ecoli_base_excision_repair	I	5	0	2	0	5	3	false
ecoli_biofilm_formation	III	8	1	3	3	6	3	false
ecoli_cell_division	I	33	1	7	2	33	6	false
ecoli_chemotaxis	II	22	1	5	14	22	10	false
ecoli_dna_replication_elongation	I	41	0	7	0	41	13	false
ecoli_dna_replication_termination	I	11	0	2	0	11	3	false
ecoli_e._coli_osmotic_stress_response	II	5	1	1	5	5	0	true
ecoli_fatty_acid_degradation	I	14	0	1	0	14	4	false
ecoli_fatty_acid_synthesis	I	27	0	5	0	27	4	false
ecoli_flagellar_assembly	I	5	0	1	0	5	1	false
ecoli_glycolysis	I	2	0	1	0	2	1	false
ecoli_heavy_metal_resistance	II	4	0	2	0	4	2	false
ecoli_homologous_recombination	I	5	0	2	0	5	3	false
ecoli_iron_homeostasis	II	23	5	5	23	23	0	true
ecoli_lambda_switch	III	5	2	2	5	5	0	true
ecoli_mal_regulon	II	18	1	2	9	18	4	false
ecoli_mismatch_repair	I	6	0	2	0	6	2	false
ecoli_nucleotide_excision_repair	I	13	0	4	0	13	6	false
ecoli_oxidative_stress_response	II	9	0	1	0	9	3	false
ecoli_periplasmic_stress	II	2	0	1	0	2	1	false
ecoli_pho_regulon	II	19	1	1	19	19	2	true
ecoli_phosphate_regulation	II	35	4	4	28	28	0	true
ecoli_phosphate_transport	I	48	6	6	48	48	11	true
ecoli_quorum_sensing	III	16	2	2	16	16	4	true
ecoli_rna_polymerase_recycling	I	21	0	1	0	21	5	false
ecoli_sigma_factor_competition	II	39	0	36	0	39	16	false
ecoli_sos_lexa	II	5	1	1	5	5	0	true
ecoli_sos_response	II	38	0	9	0	38	12	false
ecoli_sulfur_metabolism	II	28	0	2	0	28	6	false
ecoli_tca_cycle	I	56	0	13	0	56	13	false
ecoli_transcription_elongation	I	44	12	21	41	44	18	false
ecoli_transcription_termination	I	4	0	2	0	4	2	false
ecoli_translation_elongation	I	44	0	9	0	44	14	false
ecoli_translation_initiation	I	41	5	6	40	41	15	false
ecoli_translation_termination	I	8	0	4	0	8	4	false
ecoli_tryptophan_biosynthesis	II	41	2	2	41	41	5	true
ecoli_type_iii_secretion	I	8	0	4	0	8	4	false
human_akt_foxo_insulin	II	5	1	1	5	5	0	true
human_ampk_energy_homeostat	II	4	1	1	4	4	0	true
human_apoptosis_caspase_switch	III	4	2	2	4	4	0	true
human_bcl2_bax_momp	III	2	1	1	2	2	0	true
human_bcl6_gc_fate_switch	III	4	1	1	4	4	0	true
human_beta_cell_insulin_oscillator	IV	4	2	2	4	4	0	true
human_calcium_oscillator	IV	4	2	2	4	4	0	true
human_camp_pka_desensitization	II	4	2	2	4	4	0	true
human_cdk1_mitotic_switch	III	5	2	2	5	5	0	true
human_cebpa_myeloid_commitment	III	2	1	1	2	2	0	true
human_cgas_sting_dna_sensing	II	3	1	1	3	3	0	true
human_circadian_clock	IV	4	1	1	4	4	0	true
human_emt_zeb_mir200	III	4	1	1	4	4	0	true
human_erk_bistable_switch	III	5	2	2	5	5	0	true
human_estrogen_receptor_switch	III	2	1	1	2	2	0	true
human_foxp3_treg_switch	III	2	1	1	2	2	0	true
human_gata1_pu1_switch	III	6	3	3	6	6	0	true
human_glucocorticoid_hpa_axis	II	4	2	2	4	4	0	true
human_hes1_oscillator	IV	3	1	1	3	3	0	true
human_hsf1_heat_shock	II	4	1	1	4	4	0	true
human_il6_stat3_inflammation	III	5	2	2	5	5	0	true
human_ire1_xbp1_upr	II	6	1	1	6	6	0	true
human_irf7_interferon_amplifier	III	5	1	1	5	5	0	true
human_iron_irp_ire	II	4	1	1	4	4	0	true
human_jak_stat_socs	II	5	1	1	5	5	0	true
human_mtor_ulk1_autophagy	II	5	1	1	5	5	0	true
human_mtorc1_nutrient	II	4	1	1	4	4	0	true
human_myc_autoregulation	II	3	1	1	3	3	0	true
human_myod_myogenesis	III	2	1	1	2	2	0	true
human_nfkb_ikb_oscillator	IV	3	1	1	3	3	0	true
human_nlrp3_inflammasome	III	2	1	1	2	2	0	true
human_notch_delta_lateral_inhibition	III	4	1	1	4	4	0	true
human_oct4_sox2_nanog_pluripotency	III	3	2	2	3	3	0	true
human_p16_rb_senescence	III	4	1	1	4	4	0	true
human_p53_apoptosis_decision	III	2	1	1	2	2	0	true
human_p53_mdm2	IV	3	1	1	3	3	0	true
human_pd1_pdl1_checkpoint	II	5	1	1	5	5	0	true
human_perk_atf4_isr	II	4	1	1	4	4	0	true
human_pten_pi3k_akt	II	5	1	1	5	5	0	true
human_rb_e2f_restriction_point	III	4	1	1	4	4	0	true
human_rig_i_mavs_antiviral	III	2	1	1	2	2	0	true
human_scl_tal1_hematopoietic_switch	III	2	1	1	2	2	0	true
human_shh_gli	II	4	1	1	4	4	0	true
human_snail_mir34_emt	III	4	1	1	4	4	0	true
human_tbet_gata3_th1_th2	III	6	3	3	6	6	0	true
human_tgfbeta_smad	II	5	1	1	5	5	0	true
human_tlr4_lps_amplification	III	5	1	1	5	5	0	true
mouse_gata1_spi1_switch	III	6	3	3	6	6	0	true
mouse_p53_mdm2_oscillator	IV	4	1	1	4	4	0	true
mouse_sox2_oct4_pluripotency	III	4	2	2	4	4	0	true
synthetic_5node_repressilator	IV	5	1	1	5	5	0	true
synthetic_antithetic_integral_feedback	II	5	1	1	5	5	0	true
synthetic_atkinson_oscillator	IV	4	2	2	4	4	0	true
synthetic_burden_feedback_controller	II	5	1	1	5	5	0	true
synthetic_crispri_toggle	III	4	1	1	4	4	0	true
synthetic_metabolator	IV	4	2	2	4	4	0	true
synthetic_mutual_activation_bistable	III	4	1	1	4	4	0	true
synthetic_negative_autoregulation	II	4	0	1	0	4	1	false
synthetic_optogenetic_toggle	III	4	1	1	4	4	0	true
synthetic_population_control	II	6	1	1	6	6	0	true
synthetic_positive_autoregulation	III	4	1	1	4	4	1	true
synthetic_repressilator	IV	6	1	1	6	6	0	true
synthetic_stricker_oscillator	IV	5	2	2	5	5	0	true
synthetic_synchronized_qs_oscillator	IV	4	2	2	4	4	0	true
synthetic_toggle_switch	III	4	1	1	4	4	0	true
yeast_alcoholic_fermentation	I	40	6	9	30	40	5	false
yeast_autophagy	I	62	0	72	0	62	20	false
yeast_cell_cycle_checkpoints	IV	7	0	2	0	4	2	false
yeast_cell_cycle_control	IV	18	1	1	18	18	3	true
yeast_chromatin_silencing	V	5	1	1	5	5	1	true
yeast_er_stress_response	II	3	0	1	0	3	1	false
yeast_gal_bistable_switch	III	5	1	1	5	5	0	true
yeast_hog_pathway	II	4	0	2	0	4	2	false
yeast_mating_response	III	3	0	1	0	3	2	false
yeast_nitrogen_metabolism	II	44	20	25	43	44	11	false
yeast_osmotic_stress_response	II	42	38	38	42	42	1	true
yeast_protein_folding	I	13	0	3	0	13	6	false
yeast_snf1_pathway	II	3	1	1	3	3	0	true
yeast_sup35_prion	V	2	1	1	2	2	0	true
yeast_tor_signaling	II	2	0	1	0	2	1	false
yeast_ubiquitin_proteasome	I	4	1	1	4	4	2	true
yeast_unfolded_protein_response	II	51	6	14	44	51	17	false
