chart_id	circuitClass	loops	n_gate_cycle_edges	feedback_loops_gates_as_reg	feedback_loops_gates_as_nonreg	feedback_loop_nodes_gates_as_reg	feedback_loop_nodes_gates_as_nonreg	invariant	delta
arabidopsis_aba_guard_cell	II	6	0	1	1	6	6	true	0
arabidopsis_circadian_clock	IV	4	0	1	1	4	4	true	0
arabidopsis_flc_vernalization	V	3	0	1	1	3	3	true	0
bacillus_comk_competence	III	2	0	1	1	2	2	true	0
bacillus_germination	III	3	1	1	0	3	0	false	1
bacillus_spo0a_sporulation	III	4	1	1	1	4	4	true	0
celegans_dauer_decision	III	2	0	1	1	2	2	true	0
drosophila_gap_gene_network	III	5	0	4	4	5	5	true	0
drosophila_segment_polarity	III	6	0	2	2	6	6	true	0
ecoli_aerobic_respiration	I	15	0	0	0	0	0	true	0
ecoli_anaerobic_respiration	II	2	1	1	0	2	0	false	1
ecoli_base_excision_repair	I	5	3	2	0	5	0	false	2
ecoli_biofilm_formation	III	8	3	3	1	6	3	false	2
ecoli_cell_division	I	33	6	7	1	33	2	false	6
ecoli_chemotaxis	II	22	10	5	1	22	14	false	4
ecoli_dna_replication_elongation	I	41	13	7	0	41	0	false	7
ecoli_dna_replication_termination	I	11	3	2	0	11	0	false	2
ecoli_e._coli_osmotic_stress_response	II	5	0	1	1	5	5	true	0
ecoli_fatty_acid_degradation	I	14	4	1	0	14	0	false	1
ecoli_fatty_acid_synthesis	I	27	4	5	0	27	0	false	5
ecoli_flagellar_assembly	I	5	1	1	0	5	0	false	1
ecoli_glycolysis	I	2	1	1	0	2	0	false	1
ecoli_heavy_metal_resistance	II	4	2	2	0	4	0	false	2
ecoli_homologous_recombination	I	5	3	2	0	5	0	false	2
ecoli_iron_homeostasis	II	23	0	5	5	23	23	true	0
ecoli_lac_operon	II	0	0	0	0	0	0	true	0
ecoli_lambda_switch	III	5	0	2	2	5	5	true	0
ecoli_mal_regulon	II	18	4	2	1	18	9	false	1
ecoli_mismatch_repair	I	6	2	2	0	6	0	false	2
ecoli_nucleotide_excision_repair	I	13	6	4	0	13	0	false	4
ecoli_oxidative_stress_response	II	9	3	1	0	9	0	false	1
ecoli_periplasmic_stress	II	2	1	1	0	2	0	false	1
ecoli_pho_regulon	II	19	2	1	1	19	19	true	0
ecoli_phosphate_regulation	II	35	0	4	4	28	28	true	0
ecoli_phosphate_transport	I	48	11	6	6	48	48	true	0
ecoli_quorum_sensing	III	16	4	2	2	16	16	true	0
ecoli_rna_polymerase_recycling	I	21	5	1	0	21	0	false	1
ecoli_sigma_factor_competition	II	39	16	36	0	39	0	false	36
ecoli_sos_lexa	II	5	0	1	1	5	5	true	0
ecoli_sos_response	II	38	12	9	0	38	0	false	9
ecoli_sulfur_metabolism	II	28	6	2	0	28	0	false	2
ecoli_tca_cycle	I	56	13	13	0	56	0	false	13
ecoli_transcription_elongation	I	44	18	21	12	44	41	false	9
ecoli_transcription_termination	I	4	2	2	0	4	0	false	2
ecoli_translation_elongation	I	44	14	9	0	44	0	false	9
ecoli_translation_initiation	I	41	15	6	5	41	40	false	1
ecoli_translation_termination	I	8	4	4	0	8	0	false	4
ecoli_tryptophan_biosynthesis	II	41	5	2	2	41	41	true	0
ecoli_type_iii_secretion	I	8	4	4	0	8	0	false	4
human_akt_foxo_insulin	II	5	0	1	1	5	5	true	0
human_ampk_energy_homeostat	II	4	0	1	1	4	4	true	0
human_apoptosis_caspase_switch	III	4	0	2	2	4	4	true	0
human_bcl2_bax_momp	III	2	0	1	1	2	2	true	0
human_bcl6_gc_fate_switch	III	4	0	1	1	4	4	true	0
human_beta_cell_insulin_oscillator	IV	4	0	2	2	4	4	true	0
human_calcium_oscillator	IV	4	0	2	2	4	4	true	0
human_camp_pka_desensitization	II	4	0	2	2	4	4	true	0
human_cdk1_mitotic_switch	III	5	0	2	2	5	5	true	0
human_cebpa_myeloid_commitment	III	2	0	1	1	2	2	true	0
human_cgas_sting_dna_sensing	II	3	0	1	1	3	3	true	0
human_circadian_clock	IV	4	0	1	1	4	4	true	0
human_emt_zeb_mir200	III	4	0	1	1	4	4	true	0
human_erk_bistable_switch	III	5	0	2	2	5	5	true	0
human_estrogen_receptor_switch	III	2	0	1	1	2	2	true	0
human_foxp3_treg_switch	III	2	0	1	1	2	2	true	0
human_gata1_pu1_switch	III	6	0	3	3	6	6	true	0
human_glucocorticoid_hpa_axis	II	4	0	2	2	4	4	true	0
human_hes1_oscillator	IV	3	0	1	1	3	3	true	0
human_hsf1_heat_shock	II	4	0	1	1	4	4	true	0
human_il6_stat3_inflammation	III	5	0	2	2	5	5	true	0
human_ire1_xbp1_upr	II	6	0	1	1	6	6	true	0
human_irf7_interferon_amplifier	III	5	0	1	1	5	5	true	0
human_iron_irp_ire	II	4	0	1	1	4	4	true	0
human_jak_stat_socs	II	5	0	1	1	5	5	true	0
human_mtor_ulk1_autophagy	II	5	0	1	1	5	5	true	0
human_mtorc1_nutrient	II	4	0	1	1	4	4	true	0
human_myc_autoregulation	II	3	0	1	1	3	3	true	0
