chart_id	chart_title	organism	process_name	circuitClass	circuitClassName	circuitClassRationale	description	scientificAccuracy	notes	verified	verifiedBy	provenance_category	logicGates	complexity_logicGates	logic_gate_counts_agree	mermaid	topology_loops	class_topology_mismatch	mismatch_note	citation_count	has_source_notes
arabidopsis_aba_guard_cell	ABA Guard-Cell Stomatal Homeostat	Arabidopsis thaliana	ABA Guard-Cell Stomatal Homeostat	II	Negative feedback (homeostatic)	Drought raises ABA; PYR/PYL receptors bind ABA and inhibit PP2C phosphatases, freeing SnRK2 kinases that open anion channels to close stomata; reduced transpiration restores water status, lowering ABA — a negative-feedback homeostat for plant water balance. Class II.	Plants conserve water through ABA-driven stomatal closure. Drought-elevated ABA is bound by PYR/PYL receptors that inhibit clade-A PP2C phosphatases, releasing SnRK2 kinases; SnRK2 activates SLAC1 anion channels and inhibits inward K+ channels, so guard cells lose turgor and stomata close. Lower transpiration rehydrates the plant, ABA falls, and stomata reopen.	The PYR/PYL–PP2C–SnRK2 ABA core signaling module and stomatal water feedback are established (Ma et al. 2009; Park et al. 2009; Cutler et al. 2010).	Ground-truth plant Class II homeostat: ABA core module closes stomata; rehydration feedback lowers ABA.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Drought: ABA rises]
    B[/PYR/PYL inhibit PP2C/]
    C[SnRK2 kinases active]
    D[Open SLAC1 anion channels; stomata close]
    E[Transpiration drops; water restored]
    F[/Rehydration lowers ABA/]
    G(Water-status homeostasis)

    A --> B
    B --> C
    C --> D
    D --> E
    E --> F
    F -->|⊣ feedback| A
    E --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#51cf66,color:#fff
    style E fill:#74c0fc,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	6	false		2	false
arabidopsis_circadian_clock	Arabidopsis Circadian Clock (CCA1/LHY–TOC1)	Arabidopsis thaliana	Arabidopsis Circadian Clock (CCA1/LHY–TOC1)	IV	Delayed negative feedback (oscillator)	Morning factors CCA1/LHY repress the evening gene TOC1, and the evening complex in turn represses CCA1/LHY; the interlocked delayed repression generates a ~24 h transcriptional oscillation entrained by light. Class IV oscillator.	The plant circadian clock. At dawn, light induces the morning Myb factors CCA1 and LHY, which repress evening genes including TOC1; as CCA1/LHY decay through the day, the evening complex (TOC1/PRRs) accumulates and represses CCA1/LHY. The mutual, time-delayed repression sustains a self-running ~24 h rhythm.	The reciprocal CCA1/LHY–TOC1 regulation underlying the ~24 h clock is established (Alabadí et al. 2001).	Ground-truth plant Class IV oscillator: interlocked CCA1/LHY–TOC1 delayed repression.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 2, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Dawn light]
    B[CCA1/LHY morning factors]
    C[/Repress evening gene TOC1/]
    D[TOC1 / evening complex]
    E[/Represses CCA1/LHY/]
    F(~24 h circadian oscillation)

    A --> B
    B --> C
    C -->|⊣| D
    D --> E
    E -->|⊣ delayed| B
    B --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	4	false		1	false
arabidopsis_flc_vernalization	FLC Vernalization Epigenetic Memory	Arabidopsis thaliana	FLC Vernalization Epigenetic Memory	V	Self-modifying chromatin / epigenetic	Prolonged cold induces VIN3 and PRC2 to deposit H3K27me3 across the floral repressor FLC, switching it to a silenced chromatin state that is self-maintained and mitotically heritable after cold ends — a cis-acting, self-modifying chromatin memory of winter. Class V.	How plants remember winter. The floral repressor FLC blocks flowering; prolonged cold induces VIN3 and the Polycomb PRC2 complex to nucleate and spread the repressive mark H3K27me3 over the FLC locus. The silenced state is then self-propagated through cell division so that, after winter, FLC stays off and the plant can flower — a heritable, chromatin-encoded epigenetic switch.	Cold-induced, PRC2/H3K27me3-based heritable silencing of FLC is established (Bastow et al. 2004; Angel et al. 2011).	Ground-truth plant Class V: self-maintaining Polycomb chromatin memory (epigenetic winter memory).	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 0, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Prolonged cold winter]
    B[VIN3 induced]
    C[\PRC2 deposits H3K27me3 at FLC/]
    D[FLC epigenetically silenced]
    E[Silenced state mitotically inherited]
    F(Heritable vernalized state, flowering enabled)

    A --> B
    B --> C
    C --> D
    D --> E
    E -->|+ self-maintain| C
    D --> F

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#74c0fc,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#b197fc,color:#fff"	3	false		2	false
bacillus_biofilm_formation	Biofilm Formation and Matrix Production	Bacillus subtilis	Biofilm Formation and Matrix Production	III	Bistable switch / positive feedback	Bistable matrix-producer vs motile cell-fate decision	Biofilm formation in Bacillus subtilis is a multicellular developmental program where cells transition from motile planktonic to sessile matrix-producing state. The master regulator SinR represses biofilm genes under planktonic conditions. Under biofilm-inducing conditions, Spo0A~P and multiple signals activate sinI (SinR antagonist) and matrix genes. The EPS biosynthesis (epsA-O) and TasA amyloid fiber (tasA, tapA, sipW) operons produce extracellular matrix. The transition involves multiple bistable switches, quorum sensing, and coordination with motility repression.	Based on extensive research on B. subtilis biofilm formation. All components validated.	Biofilm formation shows very high OR gates (10) for multiple inducing signals. Demonstrates bacterial developmental decision with bistable switch.	True	Claude-4-Sonnet	ai_generated	"{""and"": 2, ""not"": 6, ""or"": 4}"	"{""andGates"": 5, ""orGates"": 10, ""total"": 15}"	false	harvest/mermaid/bacillus_biofilm_formation.mmd	0	true	Bistable matrix-producer vs motile cell-fate decision	1	false
bacillus_comk_competence	ComK Competence Bistable Switch	Bacillus subtilis	ComK Competence Bistable Switch	III	Bistable switch / positive feedback	ComK activates its own promoter (positive autoregulation) while ComS shields ComK from MecA/ClpCP degradation; the positive feedback makes entry into competence a bistable, noise-driven switch so that only a subpopulation becomes competent — a persistent (IIIa) state.	Bacillus subtilis stochastically enters the competence state via the master regulator ComK. ComK activates its own gene (positive autoregulation), and ComS competitively protects ComK from MecA/ClpCP proteolysis. The positive feedback creates bistability: cells that cross a noise-set threshold latch into the competent state, while the rest stay vegetative.	ComK positive autoregulation, ComS-controlled proteolysis, and the resulting bistable competence are established (Maamar & Dubnau 2005; Süel et al. 2006).	Ground-truth Bacillus Class IIIa bistable switch (competence); ComK positive autoregulation + ComS-gated proteolysis.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Stationary phase / quorum signal]
    B[ComS produced]
    C[/ComS blocks MecA degradation of ComK/]
    D[ComK accumulates]
    E[\ComK activates its own promoter/]
    F[Competence genes ON]
    G(Bistable competent subpopulation)

    A --> B
    B -->|⊣ MecA| C
    C --> D
    D --> E
    E -->|+| D
    D --> F
    F --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#ffd43b,color:#000
    style C fill:#51cf66,color:#fff
    style D fill:#ffd43b,color:#000
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	2	false		2	false
bacillus_competence_development	Competence Development and DNA Uptake	Bacillus subtilis	Competence Development and DNA Uptake	III	Bistable switch / positive feedback	ComK positive autoregulation: textbook bistable competence switch	Genetic competence in B. subtilis is a transient developmental state allowing natural DNA uptake and transformation. The system is controlled by the master regulator ComK, which activates ~100 competence genes. ComK expression involves a complex regulatory circuit with positive autoregulation, negative regulation by MecA-ClpCP degradation, and bistable switching creating competent and non-competent subpopulations. ComS protein protects ComK from degradation under starvation conditions, initiating the competence program.	This flowchart is based on verified genetic and biochemical data from decades of research on B. subtilis competence. The ComK regulatory network and DNA uptake machinery are well-characterized. All regulatory proteins, feedback loops, and DNA uptake components have been validated against primary research sources.	53 nodes showing ComK bistable switch with positive autoregulation. Contains 2 OR gates (starvation, density checks) and 1 AND gate (ComS AND ComK escape). Demonstrates heterogeneous competence in subpopulation (~10-20% cells become competent). Shows complete DNA uptake machinery.	True	Literature review	human_curated	"{""and"": 1, ""not"": 5, ""or"": 2}"	"{""andGates"": 2, ""orGates"": 3, ""total"": 5}"	false	harvest/mermaid/bacillus_competence_development.mmd	0	true	ComK positive autoregulation: textbook bistable competence switch	4	true
bacillus_germination	Spore Germination	Bacillus subtilis	Spore Germination	III	Bistable switch / positive feedback	Triggered dormancy-exit switch	Spore germination in Bacillus subtilis is the developmental process by which a dormant, resistant endospore returns to vegetative growth. Germination is triggered by nutrient germinants (L-alanine, AGFK sugars) binding to germinant receptors (GerA, GerB, GerK), leading to irreversible commitment through cortex hydrolysis, core rehydration, and metabolic reactivation. Multiple receptors provide redundancy and environmental sensing.					unclear	"{""and"": 2, ""not"": 2, ""or"": 6}"	"{""andGates"": 3, ""orGates"": 8, ""total"": 11}"	false	harvest/mermaid/bacillus_germination.mmd	3	false		0	false
bacillus_spo0a_sporulation	Spo0A Phosphorelay Sporulation Commitment	Bacillus subtilis	Spo0A Phosphorelay Sporulation Commitment	III	Bistable switch / positive feedback	A multi-kinase phosphorelay (KinA→Spo0F→Spo0B→Spo0A) raises Spo0A~P; once Spo0A~P crosses a threshold it activates sporulation sigma factors and feeds back to amplify the relay, producing an essentially irreversible, switch-like commitment to sporulation. Class III.	Starvation drives a phosphorelay that progressively phosphorylates the master regulator Spo0A. Spo0A~P accumulation is gradual until it crosses a threshold, at which point it activates the sporulation sigma-factor cascade and reinforces its own activation — converting a graded starvation signal into a discrete, irreversible commitment to form a spore.	The Spo0A phosphorelay and threshold/bistable sporulation commitment are established (Burbulys, Trach & Hoch 1991; Hilbert & Piggot 2004).	Ground-truth Bacillus Class III commitment switch (sporulation); phosphorelay + threshold positive feedback.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 0, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Starvation]
    B[KinA phosphorelay]
    C[Spo0A~P rises]
    D{Spo0A~P above threshold?}
    E[\Activates sporulation sigma factors/]
    F[Positive feedback raises Spo0A~P]
    G(Irreversible sporulation commitment)

    A --> B
    B --> C
    C --> D
    D -->|Yes| E
    E --> F
    F -->|+| C
    E --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#51cf66,color:#fff
    style C fill:#ffd43b,color:#000
    style D fill:#74c0fc,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	4	false		2	false
bacillus_sporulation_initiation	Sporulation Initiation and Spo0A Phosphorelay	Bacillus subtilis	Sporulation Initiation and Spo0A Phosphorelay	III	Bistable switch / positive feedback	Spo0A phosphorelay; bistable sporulation cell-fate decision	Sporulation in Bacillus subtilis is a last-resort developmental program triggered by nutrient starvation and mediated through a sophisticated multi-component phosphorelay system converging on the master regulator Spo0A. The system integrates multiple environmental signals (nutrient depletion, cell density, DNA damage) through five histidine kinases (KinA-E) that phosphorylate Spo0F, which transfers phosphate through Spo0B to Spo0A. Phosphorylated Spo0A~P activates sporulation genes and represses vegetative growth genes, committing the cell to the irreversible sporulation pathway. This represents one of biology's most complex developmental decisions.	This flowchart is based on verified genetic and biochemical data from decades of research on B. subtilis sporulation. The Spo0A phosphorelay is one of the best-characterized bacterial signal transduction systems. All kinases, phosphotransfer proteins, and Spo0A targets have been validated against primary research sources. The system's multi-kinase architecture provides sophisticated signal integration.	This flowchart represents sporulation initiation with 64 unique nodes (A-BM + ANDGATE1). Contains 6 OR logic gates (5 kinase sensors, Spo0A~P threshold decision) and 1 AND gate (high Spo0F~P AND low phosphatase activity). Demonstrates sophisticated signal integration through multi-kinase phosphorelay architecture. Spo0A~P acts as rheostat with three threshold levels controlling vegetative growth, transition genes, and full sporulation commitment. Irreversible developmental decision.	True	Literature review and AI validation	human_curated	"{""and"": 1, ""not"": 2, ""or"": 6}"	"{""andGates"": 2, ""orGates"": 4, ""total"": 6}"	false	harvest/mermaid/bacillus_sporulation_initiation.mmd	0	true	Spo0A phosphorelay; bistable sporulation cell-fate decision	4	true
celegans_dauer_decision	C. elegans Dauer Developmental Switch	Caenorhabditis elegans	C. elegans Dauer Developmental Switch	III	Bistable switch / positive feedback	Favorable conditions keep insulin (DAF-2) and TGF-β (DAF-7) signaling high, driving reproductive development; adversity lowers them, freeing DAF-16/DAF-3 to commit to the dauer larva, a decision reinforced by feedback into an all-or-none, long-lived arrested state. Class III bistable decision (Hu 2007).	A larva-stage life-or-death bet. Crowding, scarce food, and dauer pheromone are integrated through insulin/IGF (DAF-2) and TGF-β (DAF-7) pathways: high signaling promotes reproductive growth; low signaling releases the FOXO factor DAF-16 and DAF-3 to commit to the stress-resistant, non-aging dauer larva. Reinforcing feedback makes the commitment switch-like.	Integration of insulin/TGF-β signaling into the dauer decision is established (Hu 2007; Golden & Riddle 1984).	Ground-truth C. elegans Class III developmental decision (dauer vs reproductive), signal-integrated and switch-like.	True	Curated from primary literature (textbook ground-truth circuit)	human_curated	"{""and"": 0, ""not"": 1, ""or"": 0}"	"{""andGates"": 0, ""orGates"": 0, ""total"": 0}"	true	"graph TD
    A[Crowding / low food / pheromone]
    B{favorable conditions?}
    C[DAF-2 insulin + DAF-7 TGF-β high]
    D(Reproductive development)
    E[/Low signaling: DAF-16 + DAF-3 active/]
    F[\Commit to dauer larva/]
    G(Dauer arrest, stress-resistant)

    A --> B
    B -->|Yes| C
    C --> D
    B -->|No| E
    E --> F
    F -->|+ commit| E
    F --> G

    style A fill:#ff6b6b,color:#fff
    style B fill:#74c0fc,color:#fff
    style C fill:#51cf66,color:#fff
    style D fill:#b197fc,color:#fff
    style E fill:#51cf66,color:#fff
    style F fill:#51cf66,color:#fff
    style G fill:#b197fc,color:#fff"	2	false		2	false
