# Spot-check sheet v2 ? CYCLE EDGES ONLY (blind)
# Vocabulary:
#   REGULATORY: activates, represses, sequesters, modifies, induces
#   NON-REGULATORY: produces, consumes, transitions, proceeds
#   UNTYPABLE (quote it; do not guess)
# THE CUT: does this edge change something's CAPACITY TO ACT, or move material/state forward?
# `induces` = metabolite/effector as SIGNAL (ATP -> AMPK). `produces` = same molecule as
# MATERIAL (catabolism -> ATP). This distinction is the known crux.
# Fill gary_type and optional gary_notes. Do not look at spotcheck_key_v2.tsv until done.
review_id	chart_id	source_label	target_label	edge_label	gary_type	gary_notes
R001	ecoli_phosphate_regulation	Increased Membrane Remodeling Genes	Replacement of Phospholipids			
R002	ecoli_iron_homeostasis	Iron Efflux Proteins & Export	Environmental Iron Availability (Fe3+)			
R003	drosophila_gap_gene_network	Krüppel (Kr)	\Gap genes mutual repression			
R004	ecoli_phosphate_regulation	Synthesis of Polyphosphate (PolyP)	PolyP Storage (Pi Reserve)			
R005	ecoli_phosphate_regulation	\Pst System (sensor) Inactive	PhoR (Histidine Kinase)			
R006	human_iron_irp_ire	Transferrin-receptor mRNA stabilized	Iron uptake rises			
R007	ecoli_phosphate_regulation	Enhanced Pi Uptake	Intracellular Pi from Uptake			
R008	ecoli_iron_homeostasis	Upregulation of Feo System (Ferrous Iron Uptake)	FeoAB/C System			
R009	ecoli_iron_homeostasis	Upregulation of Heme Uptake Systems (chu, shu)	Heme Uptake & Iron Release (HemO)			
R010	ecoli_phosphate_regulation	PL + ATP -> PLP + ADP Reaction	Pyridoxal 5'-Phosphate (PLP)			
R011	yeast_cell_cycle_control	Spindle Assembly Checkpoint?	APC/C Activation Cdc20	Passed		
R012	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Upregulation of Feo System (Ferrous Iron Uptake)			
R013	human_nfkb_ikb_oscillator	IκBα resynthesized	IκB resequesters NF-κB			
R014	yeast_cell_cycle_control	Start Checkpoint Size & Nutrients?	G1 Cyclins Cln1/2/3	Yes		
R015	ecoli_tryptophan_biosynthesis	trpL Leader Sequence	OR: Trp-tRNA Charged?			
R016	ecoli_iron_homeostasis	Transcriptional Derepression by Apo-Fur	Derepression of Iron Efflux Genes			
R017	human_iron_irp_ire	IRP1/2 bind IRE elements	Transferrin-receptor mRNA stabilized			
R018	ecoli_tryptophan_biosynthesis	Anthranilate Formation	TrpD Phosphoribosyltransferase			
R019	human_camp_pka_desensitization	cAMP rises, PKA active	PDE degrades cAMP			
R020	ecoli_tryptophan_biosynthesis	\TrpR Inactive	No Repression			
R021	yeast_cell_cycle_control	G2 Phase Growth & Preparation	Clb1/2 Cyclins Mitotic CDK			
R022	ecoli_tca_cycle	Citrate ⇌ cis-Aconitate + H2O	cis-Aconitate ⇌ Isocitrate			
R023	ecoli_tryptophan_biosynthesis	TrpE/D Anthranilate Synthase	AND: Chorismate + Gln AND TrpE/D?			
R024	human_iron_irp_ire	Rising iron inactivates IRPs	IRP1/2 bind IRE elements	⊣ feedback		
R025	ecoli_phosphate_regulation	Impact on PTS Phosphorylation	Is Glucose Available?			
R026	ecoli_tryptophan_biosynthesis	OR: Trp-tRNA Charged?	Ribosome Stalls at Trp Codons	No - Low Trp		
R027	ecoli_tryptophan_biosynthesis	Indole-3-Glycerol Phosphate	TrpA/B Tryptophan Synthase			
R028	ecoli_phosphate_regulation	Release of Intracellular Pi from PolyP	Intracellular Pi Pool (General)			
R029	ecoli_sos_lexa	SOS repair genes derepressed	Repair removes ssDNA signal			
R030	ecoli_iron_homeostasis	E. coli Cell	Is environmental iron low?			
R031	ecoli_tca_cycle	Third NADH produced	Oxaloacetate regenerated			
R032	ecoli_tryptophan_biosynthesis	1-O-Carboxyphenylamino-1-deoxyribulose-5-P	CDRP			
R033	yeast_cell_cycle_control	DNA Replication Complete?	Clb5/6 Cyclins S-phase CDK	Yes		
R034	yeast_cell_cycle_control	Cdc28-Cln Activation	Bud Formation Spindle Pole Duplication			
R035	human_camp_pka_desensitization	PDE degrades cAMP	cAMP rises, PKA active	⊣		
R036	ecoli_phosphate_regulation	Conservation of Intracellular Pi	Intracellular Pi Pool (General)			
R037	drosophila_gap_gene_network	knirps (kni)	\Gap genes mutual repression			
R038	ecoli_phosphate_regulation	High Intracellular Pi	Impact on PTS Phosphorylation			
R039	drosophila_gap_gene_network	giant (gt)	\Gap genes mutual repression			
R040	drosophila_gap_gene_network	hunchback (hb)	\Gap genes mutual repression			
