pmid	doi	title	authors	year	chart_ids
10102273	10.1016/s0092-8674(00)80595-4	Akt promotes cell survival by phosphorylating and inhibiting a Forkhead transcription factor	Brunet A, Bonni A, Zigmond MJ, et al.	1999	human_akt_foxo_insulin
10319811	10.1016/s0092-8674(00)80740-0	Ordered recruitment of transcription and chromatin remodeling factors to a cell cycle- and developmentally regulated promoter	Cosma MP, Tanaka T, Nasmyth K	1999	yeast_mating_type_switching
10367881	10.1016/s0092-8674(00)80764-5	DNA binding and bending are necessary but not sufficient for CRP-dependent transcription activation	Busby S, Ebright RH	1999	ecoli_catabolite_repression
10383764	10.1046/j.1365-2958.1999.01459.x	ZntR-mediated transcriptional induction of zntA upon zinc excess in Escherichia coli	Brocklehurst KR, Hobman JL, Lawley B, Blank L, Marshall SJ, Brown NL, Morby AP	1999	ecoli_heavy_metal_resistance
10410796	10.1146/annurev.biophys.28.1.101	Base excision repair: contributions from atomic resolution structures	Mol CD, Parikh SS, Putnam CD, Lo TP, Tainer JA	1999	ecoli_base_excision_repair
10485858	10.1073/pnas.96.11.6439	The adaptor protein RssB regulates proteolysis of the stationary-phase sigma factor RpoS	Becker G, Klauck E, Hengge-Aronis R	1999	ecoli_starvation_response
10494826		RecA protein: structure, function, and role in recombinational DNA repair	Cox MM	1999	ecoli_sos_response
10510231	10.1046/j.1365-2958.1999.01538.x	The cAMP-PKA pathway in yeast	Thevelein JM, de Winde JH	1999	yeast_pka_pathway
10617163	10.1016/s1097-2765(00)80159-4	The mechanism of intrinsic transcription termination	Gusarov I, Nudler E	1999	ecoli_transcription_termination
10639324		Polarization of cell growth in yeast. I. Establishment and maintenance of polarity states.	Pruyne D	2000	yeast_yeast_cell_polarity
10659856	10.1038/35002125	A synthetic oscillatory network of transcriptional regulators	Elowitz MB, Leibler S	2000	synthetic_5node_repressilator;synthetic_repressilator
10659857	10.1038/35002131	Construction of a genetic toggle switch in Escherichia coli	Gardner TS, Cantor CR, Collins JJ	2000	synthetic_mutual_activation_bistable;synthetic_optogenetic_toggle;synthetic_toggle_switch
10706289	10.1038/35002607	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans	Reinhart BJ, Slack FJ, Basson M, et al.	2000	celegans_heterochronic_clock
10716729	10.1073/pnas.97.2.652	CopA: An Escherichia coli Cu(I)-translocating P-type ATPase	Rensing C, Fan B, Sharma R, Mitra B, Rosen BP	2000	ecoli_heavy_metal_resistance
10742100	10.1038/74199	Quantitative expression of Oct-3/4 defines differentiation, dedifferentiation or self-renewal of ES cells	Niwa H, Miyazaki J, Smith AG	2000	mouse_sox2_oct4_pluripotency
10754576	10.1016/s0966-842x(00)01709-1	Signal transduction by the PII protein	Ninfa AJ, Atkinson MR	2000	ecoli_nitrogen_assimilation
10761931	10.1016/s0092-8674(00)80702-3	A novel transcription factor, T-bet, directs Th1 lineage commitment	Szabo SJ, Kim ST, Costa GL, Zhang X, Fathman CG, Glimcher LH	2000	human_tbet_gata3_th1_th2
10801461	10.1016/s0955-0674(00)00104-6	Transcriptional regulation of meiosis in yeast	Vershon AK, Pierce M	2000	yeast_meiosis_regulation
10850721	10.1038/35014651	Engineering stability in gene networks by autoregulation	Becskei A, Serrano L	2000	synthetic_negative_autoregulation
10894718	10.1128/jb.182.15.4129-4136.2000	σ54-dependent transcription	Buck M, Gallegos MT, Studholme DJ, Guo Y, Gralla JD	2000	ecoli_nitrogen_assimilation
10899998	10.1073/pnas.97.14.7643	Positive and negative control of the arabinose operon	Schleif R	2000	ecoli_ara_operon
10910359	10.1038/35018085	The segment polarity network is a robust developmental module	von Dassow G, Meir E, Munro EM, Odell GM	2000	drosophila_segment_polarity
10926528	10.1126/science.289.5481.920	The structural basis of ribosome activity in peptide bond synthesis	Nissen P, Hansen J, Ban N, Moore PB, Steitz TA	2000	ecoli_translation_elongation
10947831	10.1016/s1074-7613(00)00020-4	BCL-6 represses genes required for plasma cell differentiation	Shaffer AL, Yu X, He Y, et al.	2000	human_bcl6_gc_fate_switch
10966467	10.1146/annurev.biochem.69.1.183	Two-component signal transduction	Stock AM, Robinson VL, Goudreau PN	2000	ecoli_e._coli_two_component_signaling
10978131		Regulation of the Escherichia coli SOS response	Fernández De Henestrosa AR	2000	ecoli_sos_response
11014182	10.1038/35030006	Structure of the 30S ribosomal subunit	Wimberly BT, Brodersen DE, Clemons WM Jr, Morgan-Warren RJ, Carter AP, Vonrhein C, Hartsch T, Ramakrishnan V	2000	ecoli_ribosome_assembly;ecoli_translation_initiation
11028992	10.1038/35035005	A yeast prion provides a mechanism for genetic variation and phenotypic diversity	True HL, Lindquist SL	2000	yeast_sup35_prion
11031250	10.1146/annurev.cellbio.16.1.653	The Myc/Max/Mad network and the transcriptional control of cell behavior	Grandori C, Cowley SM, James LP, Eisenman RN	2000	human_myc_autoregulation
11034250	10.1038/35039580	The SOS regulatory system of Escherichia coli	Fernández De Henestrosa AR, Ogi T, Aoyagi S, Chafin D, Hayes JJ, Ohmori H, Woodgate R	2000	ecoli_dna_damage_checkpoint
11089985	10.1038/35040582	NusG is a sequence-specific RNA polymerase pause factor that stimulates transcription elongation	Artsimovitch I, Landick R	2000	ecoli_transcription_elongation
11104815	10.1128/mmbr.64.4.694-708.2000	Coupling of flagellar gene expression to flagellar assembly in Salmonella enterica serovar typhimurium and Escherichia coli	Chilcott GS, Hughes KT	2000	ecoli_flagellar_assembly
11313498	10.1126/science.1059495	Structural basis of transcription: RNA polymerase II elongation complex at 3.3 Å resolution	Gnatt AL, Cramer P, Fu J, Bushnell DA, Kornberg RD	2001	ecoli_transcription_elongation
