process_id	picked_idx	picked_sim	top_idx	top_sim	gap	picked_title	top_title
ecoli_e._coli_flagellar_assembly	0	0.2918	1	0.7661	0.4743	TnpB homologues exapted from transposons are RNA-guided tran	Intrinsic clustering of flagellar basal body proteins in E. 
yeast_yeast_vacuolar_protein_sorting	0	0.3044	1	0.7565	0.4522	Interplay of energy metabolism and autophagy.	Protein traffic in the yeast endocytic and vacuolar protein 
yeast_mating_type_switching	1	0.3864	2	0.7423	0.3559	Molecular analysis of a cell lineage	Mating-type genes and MAT switching in Saccharomyces cerevis
yeast_oxidative_stress_response	0	0.4626	2	0.7717	0.3091	Free radicals, reactive oxygen species, oxidative stress and	The response to heat shock and oxidative stress in Saccharom
ecoli_protein_folding_chaperones	0	0.4561	2	0.7140	0.2579	Production of Biopharmaceuticals in E. coli: Current Scenari	Mechanism of chaperone coordination during cotranslational p
ecoli_lac_operon	0	0.4277	1	0.6811	0.2534	Genetic regulatory mechanisms in the synthesis of proteins	The lactose operon
ecoli_anaerobic_respiration	0	0.4763	2	0.7197	0.2434	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	The ArcA two-component signal transduction system regulates 
yeast_heat_shock_response	0	0.4278	2	0.6391	0.2113	Cytosolic proteostasis through importing of misfolded protei	Glycerol 3-phosphate dehydrogenase regulates heat shock resp
bacillus_competence_development	0	0.4367	2	0.6451	0.2085	Bistability in bacteria	Controlling competence in Bacillus subtilis: shared use of r
synthetic_recombinase_counter	0	0.4826	1	0.6828	0.2002	Synthetic gene networks that count	Synthetic recombinase-based state machines in living cells
ecoli_stringent_response	0	0.4363	2	0.6312	0.1949	ppGpp: still magical?	Structural basis of ppGpp riboswitch function
ecoli_translation_initiation	0	0.5690	2	0.7570	0.1880	Mechanism and regulation of protein synthesis in Escherichia	Initiation of translation in bacteria
ecoli_dna_replication_elongation	0	0.5105	2	0.6934	0.1829	The bacterial replisome: back on track?	Structure and mechanism of the DNA polymerase III holoenzyme
yeast_cell_cycle_control	0	0.6118	2	0.7856	0.1738	Cyclins and cell cycle checkpoints	The regulation of CDK activity in budding yeast
ecoli_lambda_switch	1	0.4872	0	0.6542	0.1670	Stochastic kinetic analysis of developmental pathway bifurca	A Genetic Switch: Phage Lambda Revisited (3rd ed.)
ecoli_trp_operon	0	0.6278	3	0.7912	0.1635	Attenuation in the control of expression of bacterial operon	The tryptophan operon: a coordinated mechanism for the regul
celegans_dauer_decision	0	0.3746	1	0.5319	0.1574	Dauer	A pheromone influences larval development in the nematode Ca
ecoli_iron_homeostasis	2	0.5895	3	0.7391	0.1496	Increasing dissolved-oxygen disrupts iron homeostasis in pro	Global iron-dependent gene regulation in Escherichia coli. A
ecoli_mismatch_repair	0	0.5939	3	0.7259	0.1319	Mismatch repair in replication fidelity, genetic recombinati	Bacterial methyl-directed DNA mismatch repair
ecoli_biofilm_formation	0	0.5654	1	0.6965	0.1311	Bacterial resistance in biofilm-associated bacteria	Biofilm formation and cellulose expression among diverse env
yeast_autophagy	0	0.5331	3	0.6642	0.1311	Autophagy genes in biology and disease	Autophagy in yeast demonstrated with proteinase-deficient mu
human_mtorc1_nutrient	0	0.5527	1	0.6792	0.1265	The TSC1-2 tumor suppressor controls insulin-PI3K signaling 	mTOR signaling in growth, metabolism, and disease
ecoli_fatty_acid_synthesis	0	0.5892	1	0.7138	0.1245	Forty years of bacterial fatty acid synthesis	The structural biology of type II fatty acid biosynthesis
ecoli_sos_response	0	0.6292	1	0.7480	0.1188	The SOS response: recent insights into umuDC-dependent mutag	Regulation of the Escherichia coli SOS response
ecoli_cold_shock_response	0	0.6591	3	0.7772	0.1181	An in-silico study to understand the effect of lineage diver	The cold-shock response in bacteria.
yeast_yeast_glycolysis_regulation	0	0.6152	1	0.7288	0.1136	Compartmentalization and metabolic regulation of glycolysis.	Flux regulation through glycolysis and respiration is balanc
ecoli_rna_polymerase_recycling	0	0.5516	3	0.6635	0.1120	Mechanism of transcription termination by E. coli RNA polyme	Recycling of the RNA polymerase in Escherichia coli
human_cdk1_mitotic_switch	0	0.4891	1	0.5977	0.1086	Hysteresis drives cell-cycle transitions in Xenopus laevis e	Building a cell cycle oscillator: hysteresis and bistability
yeast_yeast_cell_polarity	0	0.7031	3	0.8067	0.1036	Intrinsic and Extrinsic Determinants Linking Spindle Pole Fa	Budding and cell polarity in Saccharomyces cerevisiae.
ecoli_ribosome_assembly	0	0.6093	2	0.7104	0.1011	Structure of the 30S ribosomal subunit	Assembly of the 30S ribosomal subunit
yeast_unfolded_protein_response	0	0.6233	1	0.7177	0.0944	The unfolded protein response: controlling cell fate decisio	The unfolded protein response in yeast
ecoli_translation_elongation	0	0.5239	3	0.6169	0.0930	Structural basis for translation termination on the 70S ribo	EF-G-catalyzed translocation of anticodon stem-loop analogs 
