name,kingdom,file,link
1,Nutrient Gradient Sensing,,
2,Stress Response Decision,,
3,Quorum Sensing Threshold,,
4,Antibiotic Resistance Decision,,
5,Biofilm Formation Decision,,
6,Sporulation Timing Decision,,
7,Horizontal Gene Transfer Decision,,
8,AHL Autoinducer Synthesis,,
9,AHL Signal Detection,,
10,Population Density Assessment,,
11,Biofilm Formation Response,,
12,Bacterial Implementation of Viral Decision Logic,,
13,Bacterial Transcription Factor Circuit,,
14,Experimental Validation Protocol,,
15,Framework Validation Metrics,,
16,Iron Homeostasis,,
17,Siderophore Synthesis,,
18,Iron Uptake Systems,,
19,Heme Acquisition,,
20,Iron Storage,,
21,Iron-Sulfur Cluster Assembly,,
22,Oxidative Iron Response,,
23,Iron Export and Detoxification,,
24,Iron Homeostasis (Fur Regulation),,
25,Siderophore Synthesis (Enterobactin),,
26,Iron Storage (Ferritin),,
27,Chromosome Replication,,
28,Chromosome Segregation,,
29,Cell Elongation,,
30,Septum Formation,,
31,Cell Constriction,,
32,Cell Separation,,
33,Daughter Cell Formation,,
34,Division Completion,,
35,Drug Detection,,
36,Efflux Pumps,,
37,Target Modification,,
38,Drug Inactivation,,
39,Membrane Alteration,,
40,Biofilm Protection,,
41,Persister Formation,,
42,Resistance Evolution,,
43,Beta-Galactosidase,,
44,Chemotaxis,,
45,SOS Response,,
46,Tryptophan Biosynthesis,,
47,Iron Homeostasis,,
48,Heat Shock Response,,
49,Nitrogen Metabolism,,
50,Cell Division,,
51,Biofilm Formation,,
52,CRISPR-Cas,,
53,Beta-Galactosidase (Lac Operon),,
54,Phage Defense (CRISPR-Cas),,
55,Glycolysis,,
56,TCA Cycle,,
57,Pentose Phosphate Pathway,,
58,Fatty Acid Metabolism,,
59,Amino Acid Metabolism,,
60,Nucleotide Metabolism,,
61,Anaerobic Respiration,,
62,Metabolic Regulation,,
63,Beta-Galactosidase (reuse from ecoli_10_processes.html),,
64,Tryptophan Biosynthesis (reuse from ecoli_10_processes.html),,
65,Arabinose Operon,,
66,CAP-cAMP Global Regulation,,
67,Sigma Factor Competition,,
68,RNA Polymerase Recycling,,
69,Transcription Termination,,
70,Attenuation Control,,
71,Transcription Initiation,,
72,Sigma Factor Regulation,,
73,Operon Regulation,,
74,Transcription Termination,,
75,Attenuation Control,,
76,Antisense Regulation,,
77,Riboswitch Regulation,,
78,Global Regulation,,
79,Beta-Galactosidase,,
80,Chemotaxis,,
81,SOS Response,,
82,Tryptophan Biosynthesis,,
83,Iron Homeostasis,,
84,Heat Shock Response,,
85,Nitrogen Metabolism,,
86,Cell Division,,
87,Biofilm Formation,,
88,CRISPR-Cas,,
89,Active Transport,,
90,Passive Transport,,
91,Membrane Biogenesis,,
92,Protein Secretion,,
93,Membrane Proteins,,
94,Lipid Transport,,
95,Membrane Dynamics,,
96,Cellular Organization,,
97,Cell Division,,
98,Chromosome Segregation,,
99,Min System,,
100,Nucleoid Occlusion,,
101,FtsZ Ring Dynamics,,
102,Divisome Assembly,,
103,Peptidoglycan Synthesis,,
104,Cell Wall Remodeling,,
105,Glycolysis,,
106,TCA Cycle,,
107,Pentose Phosphate Pathway,,
108,Gluconeogenesis,,
109,Fatty Acid Synthesis,,
110,Fatty Acid β-Oxidation,,
111,Glyoxylate Cycle,,
112,PTS Sugar Transport,,
113,Biofilm Formation,,
114,Curli Fiber Assembly,,
115,Cellulose Synthesis,,
116,Surface Adhesion,,
117,Quorum Sensing (AI-2),,
118,c-di-GMP Signaling,,
119,Biofilm Maturation,,
120,Biofilm Dispersal,,
121,Autoinducer Production,,
122,Signal Secretion,,
123,Signal Detection,,
124,Signal Accumulation,,
125,Threshold Detection,,
126,Gene Expression Switch,,
127,Collective Behavior,,
128,Population Response,,
129,Chemotaxis,,
130,Flagellar Assembly,,
131,Flagellar Motor,,
132,Swimming vs Tumbling,,
133,Aerotaxis,,
134,pH Taxis,,
135,Phototaxis,,
136,Magnetotaxis,,
137,CRISPR-Cas Immunity,,
138,Restriction-Modification,,
139,Prophage Integration,,
140,Toxin-Antitoxin Systems,,
141,Abortive Infection,,
142,Surface Exclusion,,
143,DNA Methylation Defense,,
144,Anti-restriction Systems,,
145,DNA Replication Initiation,,
146,DNA Replication Elongation,,
147,DNA Replication Termination,,
148,DNA Repair,,
149,Base Excision Repair,,
150,Nucleotide Excision Repair,,
151,Mismatch Repair,,
152,SOS Response,,
153,Translation Initiation,,
154,Translation Elongation,,
155,Translation Termination,,
156,Protein Folding,,
157,Ribosome Assembly,,
158,tRNA Aminoacylation,,
159,Translation Regulation,,
160,Protein Targeting,,
161,Translation Initiation,,
162,Translation Elongation,,
163,Translation Termination,,
164,Ribosome Assembly,,
165,tRNA Aminoacylation,,
166,Protein Folding (GroEL/GroES),,
167,Heat Shock Response,,
168,"Protein Degradation (ClpXP, Lon)",,
169,Autoinducer-2 (AI-2) Signaling,,
170,LuxS System,,
171,Indole Signaling,,
172,cAMP-CRP Global Communication,,
173,Two-Component Signal Systems,,
174,Small RNA Communication,,
175,Contact-Dependent Inhibition,,
176,Population-Level Behaviors,,
177,LuxS-based Communication,,
178,Temperature Adaptation,,
179,pH Regulation,,
180,Osmotic Adaptation,,
181,Oxygen Response,,
182,Nutrient Adaptation,,
183,Metal Homeostasis,,
184,Light Response,,
185,Community Adaptation,,
186,SOS Response,,
187,Stringent Response,,
188,Oxidative Stress Response,,
189,Acid Resistance,,
190,Osmotic Stress Response,,
191,Cold Shock Response,,
192,Envelope Stress Response,,
193,Starvation Response,,
194,General Stress Response (RpoS),,
195,DNA Damage Checkpoint,,
196,Oxidative Stress Response,,
197,Heat Shock Response,,
198,Cold Shock Response,,
199,Osmotic Stress Response,,
200,Acid Stress Response,,
201,Antibiotic Resistance,,
202,Starvation Response,,
203,Stress Adaptation,,
204,Aerobic Respiration,,
205,Electron Transport Chain,,
206,ATP Synthesis,,
207,Anaerobic Respiration,,
208,Fermentation,,
209,Proton Gradient,,
210,Energy Conservation,,
211,Energy Regulation,,
212,Alternative Carbon Sources,,
213,Secondary Metabolites,,
214,Amino Acid Synthesis,,
215,Nucleotide Metabolism,,
216,Lipid Synthesis,,
217,Vitamin Synthesis,,
218,Cofactor Synthesis,,
219,Xenobiotic Metabolism,,
220,Surface Attachment,,
221,Matrix Production,,
222,Cell Aggregation,,
223,Biofilm Maturation,,
224,Nutrient Diffusion,,
225,Cell Communication,,
226,Biofilm Dispersion,,
227,Community Regulation,,
228,Mutation Generation,,
229,Genetic Variation,,
230,Selection Pressure,,
231,Fitness Evaluation,,
232,Adaptation Mechanisms,,
233,Population Dynamics,,
234,Evolutionary Success,,
235,Speciation Processes,,
1,Morphogen Gradient Interpretation,,
2,Fate A vs Fate B Competitive Decision,,
3,TF Binding Site Competition,,
4,Cell Specialization and Fate Commitment,,
1,Mutation Generation,,
2,Genetic Drift,,
3,Adaptive Evolution,,
4,Co-evolutionary Arms Race,,
5,Sexual Selection,,
6,Population Bottleneck Recovery,,
7,Speciation Decision Tree,,
1,Cellular Respiration,,
2,Protein Synthesis,,
3,Neurotransmitter Synthesis,,
4,Blood Clotting,,
5,Hormone Synthesis,,
6,Cellular Respiration Process,,
7,Protein Synthesis Process,,
8,Neurotransmitter Synthesis Process,,
9,Blood Clotting Process,,
10,Hormone Synthesis Process,,
11,Parkinson's Disease,,
12,Diabetes Mellitus,,
13,Cancer Development,,
14,Cardiovascular Disease,,
15,Autoimmune Disease,,
16,Parkinson's Disease Process,,
17,Diabetes Mellitus Process,,
18,Cancer Development Process,,
19,Cardiovascular Disease Process,,
20,Autoimmune Disease Process,,
1,Signal Amplification,,
2,Noise Filtering,,
3,Cross-Talk Integration,,
4,Feedback Regulation,,
5,Signal Transduction,,
6,Information Processing,,
7,Signal Integration,,
1,Energy Status Evaluation,,
2,Aerobic vs Anaerobic Competitive Decision,,
3,Glycolysis vs Gluconeogenesis Competition,,
4,Energy Production and Utilization,,
1,Bacterial Implementation of Viral Decision Logic,,
2,Bacterial Transcription Factor Circuit,,
3,Experimental Validation Protocol,,
4,Framework Validation Metrics,,
5,Bacterial-to-Yeast Module Transplantation,,
6,Yeast Transcription Factor Circuit,,
7,Module Transplantation Validation,,
8,Transplantation Success Metrics,,
9,Mating Type Status Evaluation,,
10,MATa vs MATα Competitive Decision,,
11,HO Endonuclease-Mediated Recombination,,
12,Mating Type Expression and Maintenance,,
13,Replicative Aging,,
14,Chronological Aging,,
15,Stress Response,,
16,Fermentation,,
17,Metabolic Switching,,
18,Cell Cycle Control,,
19,Autophagy,,
20,Quiescence,,
21,Unfolded Protein Response,,
22,Nonsense-Mediated Decay,,
23,Cell Wall Integrity,,
24,Apoptosis,,
25,Receptor Activation,,
26,MAP Kinase Cascade,,
27,G Protein Signaling,,
28,Calcium Signaling,,
29,Phosphoinositide Signaling,,
30,cAMP Signaling,,
31,Stress Signaling,,
32,Nutrient Signaling,,
33,Translation Initiation,,
34,Translation Elongation,,
35,Translation Termination,,
36,Protein Degradation,,
37,Ribosome Assembly,,
38,Protein Folding,,
39,Quality Control,,
40,Autophagy,,
41,Pheromone Signaling,,
42,Quorum Sensing,,
43,Cell-Cell Adhesion,,
44,Gap Junctions,,
45,Receptor Signaling,,
46,Second Messengers,,
47,Transcription Regulation,,
48,Response Coordination,,
49,G1 Phase Control,,
50,S Phase Control,,
51,G2 Phase Control,,
52,Mitosis Control,,
53,Spindle Assembly Checkpoint,,
54,Anaphase Promoting Complex,,
55,Cytokinesis,,
56,Cell Cycle Exit,,
57,DNA Replication Initiation,,
58,DNA Replication Elongation,,
59,DNA Replication Termination,,
60,Base Excision Repair,,
61,Nucleotide Excision Repair,,
62,Mismatch Repair,,
63,Double Strand Break Repair,,
64,Telomere Maintenance,,
65,Oxidative Stress Response,,
66,Heat Shock Response,,
67,Osmotic Stress Response,,
68,Nutrient Starvation Response,,
69,DNA Damage Response,,
70,Protein Stress Response,,
71,Metabolic Stress Response,,
72,Stress Adaptation,,
73,Amino Acid Biosynthesis,,
74,Nucleotide Synthesis,,
75,Vitamin/Cofactor Synthesis,,
76,Secondary Metabolism,,
77,Polyamine Synthesis,,
78,Sulfur Metabolism,,
79,One-Carbon Metabolism,,
80,Glyoxylate Cycle,,
81,Glycolysis,,
82,TORC1 Nutrient Sensing,,
83,Heat Shock Response,,
84,Autophagy Initiation,,
85,Unfolded Protein Response,,
86,G1/S Transition,,
87,Mitochondrial Respiration Control,,
88,Amino Acid Biosynthesis Regulation,,
89,Gluconeogenesis,,
90,Alcoholic Fermentation,,
91,Heat Shock Response,,
92,Osmotic Stress Response,,
93,Oxidative Stress Response,,
94,General Stress Response,,
95,Nutrient Stress Response,,
96,DNA Damage Stress Response,,
97,Protein Stress Response,,
98,Metabolic Stress Response,,
99,Glycolysis,,
100,Krebs Cycle,,
101,Oxidative Phosphorylation,,
102,Fermentation,,
103,Gluconeogenesis,,
104,Pentose Phosphate Pathway,,
105,Fatty Acid Metabolism,,
106,Energy Regulation,,
107,Glucose Transport,,
108,Amino Acid Transport,,
109,Ion Transport,,
110,Vesicle Trafficking,,
111,Protein Secretion,,
112,Endocytosis,,
113,Exocytosis,,
114,Membrane Fusion,,
115,Histone Modification,,
116,Chromatin Remodeling,,
117,DNA Methylation,,
118,Nucleosome Positioning,,
119,Epigenetic Silencing,,
120,Epigenetic Activation,,
121,Epigenetic Inheritance,,
122,Epigenetic Reset,,
123,Circuit Design,,
124,Part Assembly,,
125,Promoter Engineering,,
126,Ribosome Binding Site Design,,
127,Terminator Optimization,,
128,Regulatory Networks,,
129,Feedback Loops,,
130,Synthetic Pathways,,
131,Replicative Aging,,
132,Chronological Aging,,
133,Telomere Shortening,,
134,Oxidative Damage Accumulation,,
135,Protein Aggregation,,
136,Mitochondrial Dysfunction,,
137,Senescence Induction,,
138,Cell Death Pathways,,
139,Mating Type Switching,,
140,Sporulation,,
141,Pseudohyphal Growth,,
142,Pathway Design,,
143,Enzyme Engineering,,
144,Metabolic Flux Analysis,,
145,Bottleneck Identification,,
146,Pathway Optimization,,
147,Product Synthesis,,
148,Yield Improvement,,
149,Metabolic Balance,,
150,Cell Wall Synthesis,,
151,Chitin Synthesis,,
152,Circadian Regulation,,
153,Metabolic Oscillations,,
154,Feedback Loops,,
155,Feedforward Circuits,,
156,Bistable Switches,,
157,Noise Filtering,,
158,Adaptive Networks,,
159,Network Robustness,,
160,RNA Splicing,,
161,RNA Capping,,
162,Poly(A) Addition,,
163,mRNA Export,,
164,Transcription Initiation,,
165,Chromatin Remodeling,,
166,Histone Modification,,
167,Transcription Elongation,,
