cohort,perturbed,circuit_class,topology_type,n_questions,p_yes_mean,p_yes_std,frac_yes_decision,mean_think_tokens
class_i_K562,ADAT2,I,no_regulatory_info,5.0,0.22369744661085633,0.43461919058531345,0.4,77.6
class_i_K562,ANKS6,I,no_regulatory_info,5.0,0.4091790003329379,0.5394990872519335,0.4,87.6
class_i_K562,BCAS2,I,feed_forward_target,5.0,0.40978805618360636,0.5389392279935373,0.4,79.0
class_i_K562,BRIX1,I,no_regulatory_info,5.0,0.3969423691905831,0.5413074110464832,0.4,78.4
class_i_K562,CENPW,I,feed_forward_target,5.0,0.01229824979841423,0.014218994392556611,0.4,103.8
class_i_K562,CHMP3,I,no_regulatory_info,5.0,0.0004976867353005954,0.0010251207137038716,0.4,108.0
class_i_K562,CLK2,I,no_regulatory_info,5.0,0.4355515852570534,0.5155830616073691,0.4,65.6
class_i_K562,COPS4,I,no_regulatory_info,5.0,0.40060448899748735,0.5469559587248157,0.4,83.0
class_i_K562,EIF3F,I,no_regulatory_info,5.0,0.008635910508336897,0.01902135476620116,0.4,99.4
class_i_K562,EIF4G2,I,no_regulatory_info,5.0,0.0003709935728636093,0.0005294370077668003,0.4,70.6
class_i_K562,EXOSC6,I,no_regulatory_info,5.0,0.2150930290751801,0.4399336950059209,0.4,73.0
class_i_K562,GGPS1,I,feed_forward_target,5.0,0.01707757296334096,0.023028734511262233,0.4,92.6
class_i_K562,GMPS,I,feed_forward_target,5.0,0.0021047005152449393,0.004706180093966782,0.4,105.6
class_i_K562,GTF2H1,I,no_regulatory_info,5.0,0.22009643523135214,0.4213160898253726,0.4,80.4
class_i_K562,GTF3C2,I,feed_forward_target,5.0,0.2186123301771325,0.43735590227757337,0.4,92.0
class_i_K562,HNRNPC,I,no_regulatory_info,5.0,0.41796532855805707,0.5316364261294069,0.4,78.0
class_i_K562,IARS2,I,no_regulatory_info,5.0,0.023908004568874385,0.02485502641349048,0.4,102.6
class_i_K562,ISG20L2,I,no_regulatory_info,5.0,0.2085423382465264,0.4427351205930733,0.4,77.2
class_i_K562,KPNA6,I,no_regulatory_info,5.0,0.4050724237913528,0.5288917575553764,0.4,90.2
class_i_K562,LSM3,I,no_regulatory_info,5.0,0.2291708278626793,0.4317033045486836,0.4,85.8
class_i_K562,MANF,I,no_regulatory_info,5.0,0.4246412727981806,0.5252267625907394,0.4,73.4
class_i_K562,MCM3AP,I,no_regulatory_info,5.0,0.4220427281805314,0.5280220642608641,0.4,101.0
class_i_K562,MEPCE,I,no_regulatory_info,5.0,0.43115546107292174,0.5193427566128468,0.4,96.2
class_i_K562,MRPL27,I,no_regulatory_info,5.0,6.740567144447596e-08,6.73418118533763e-08,0.4,118.6
class_i_K562,PGAM1,I,no_regulatory_info,5.0,0.008232509823099754,0.017299550777584716,0.4,99.8
class_i_K562,RNPC3,I,no_regulatory_info,5.0,0.012444422339045169,0.017214404007897133,0.4,54.6
class_i_K562,RRM1,I,feed_forward_target,5.0,0.001919448438334115,0.002968003343630791,0.4,87.6
class_i_K562,SEPHS2,I,no_regulatory_info,5.0,0.21272230801501896,0.4408230841734864,0.4,99.0
class_i_K562,SSBP1,I,no_regulatory_info,5.0,0.022222936754650657,0.025287158728175104,0.4,85.0
class_i_K562,SUPT6H,I,no_regulatory_info,5.0,0.20977143324646413,0.4419573428348062,0.4,78.8
class_i_K562,TRPM7,I,no_regulatory_info,5.0,0.4189747428521514,0.5299212326038303,0.4,83.4
class_i_K562,TRRAP,I,feed_forward_tf,5.0,0.2292075714049578,0.43146752474853894,0.4,95.6
class_i_K562,TTC4,I,no_regulatory_info,5.0,0.39041974326391937,0.5331225783839215,0.4,86.6
class_i_K562,YARS2,I,no_regulatory_info,5.0,0.025847505957643423,0.0277216122200937,0.4,93.4
class_i_K562,ZNF468,I,no_regulatory_info,5.0,0.4172179684974253,0.5325430176415018,0.4,74.8
class_iii_K562,BCL2L1,III,positive_feedback_bistable,5.0,0.39982549558862956,0.547475335048455,0.4,56.8
class_iii_K562,BUB1,III,positive_feedback_bistable,5.0,0.4019507352131768,0.5405810001480271,0.4,93.8
class_iii_K562,BUB1B,III,positive_feedback_bistable,5.0,0.39179688795729817,0.5366262236440118,0.4,64.6
class_iii_K562,CDC20,III,positive_feedback_bistable,5.0,0.0009386548847453823,0.0013272854277201643,0.4,116.2
class_iii_K562,CDC6,III,positive_feedback_bistable,5.0,0.21603446937404178,0.43865150392025826,0.4,86.0
class_iii_K562,CHEK1,III,positive_feedback_bistable,5.0,0.21652207625887937,0.43842257644633686,0.4,88.8
class_iii_K562,GATA1,III,mutual_repression,4.0,0.35315152091249535,0.4572592706106972,0.5,76.75
class_iii_K562,GRB2,III,positive_feedback_bistable,5.0,0.20878778673485607,0.44237608767798586,0.4,89.6
class_iii_K562,HSF1,III,pos_feedback,5.0,0.1996064310873123,0.4463303150672421,0.4,92.4
class_iii_K562,MAD2L1,III,positive_feedback_bistable,5.0,0.00017496721772998215,0.00038325833195648117,0.4,105.0
class_iii_K562,MAX,III,positive_feedback_bistable,5.0,0.41154726888182297,0.5375543995989008,0.4,65.2
class_iii_K562,MED1,III,positive_feedback_loop,5.0,0.22211406528389083,0.43543535670496536,0.4,103.0
class_iii_K562,MYC,III,positive_feedback,4.0,0.26052912617357293,0.4930236627829993,0.25,101.0
class_iii_K562,NANOG,III,pos_feedback,5.0,0.05131822528772183,0.07633052993613614,0.4,90.2
class_iii_K562,RAD51,III,positive_feedback_loop,5.0,0.20547267426491816,0.4441679851710197,0.4,87.0
class_iii_K562,STAT5A,III,pos_feedback,5.0,0.21317833668541142,0.4403744449634698,0.4,79.0
class_iii_K562,VHL,III,positive_feedback_loop,5.0,0.013955197447719225,0.0241472883519693,0.4,106.0
