gene,circuit_class,cohort,topology_type,n_questions,frac_yes_decision,p_yes_mean,mean_think_tokens,mean_pearson_sota
ADAT2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.22369744661085633,77.6,0.9466357142857144
ANKS6,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4091790003329379,87.6,0.9217571428571428
BCAS2,I,class_i_K562,feed_forward_target,5.0,0.4,0.40978805618360636,79.0,0.5960214285714286
BRIX1,I,class_i_K562,no_regulatory_info,5.0,0.4,0.3969423691905831,78.4,0.6073785714285714
CENPW,I,class_i_K562,feed_forward_target,5.0,0.4,0.01229824979841423,103.8,0.9266142857142857
CHMP3,I,class_i_K562,no_regulatory_info,5.0,0.4,0.0004976867353005954,108.0,0.6887428571428572
CLK2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4355515852570534,65.6,0.9550285714285714
COPS4,I,class_i_K562,no_regulatory_info,5.0,0.4,0.40060448899748735,83.0,0.6986642857142857
EIF3F,I,class_i_K562,no_regulatory_info,5.0,0.4,0.008635910508336897,99.4,0.7725357142857143
EIF4G2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.0003709935728636093,70.6,0.6952714285714287
EXOSC6,I,class_i_K562,no_regulatory_info,5.0,0.4,0.2150930290751801,73.0,0.7195142857142857
GGPS1,I,class_i_K562,feed_forward_target,5.0,0.4,0.01707757296334096,92.6,0.9739642857142857
GMPS,I,class_i_K562,feed_forward_target,5.0,0.4,0.0021047005152449393,105.6,0.8302571428571428
GTF2H1,I,class_i_K562,no_regulatory_info,5.0,0.4,0.22009643523135214,80.4,0.5419714285714285
GTF3C2,I,class_i_K562,feed_forward_target,5.0,0.4,0.2186123301771325,92.0,0.8922928571428572
HNRNPC,I,class_i_K562,no_regulatory_info,5.0,0.4,0.41796532855805707,78.0,0.6934357142857143
IARS2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.023908004568874385,102.6,0.6416428571428572
ISG20L2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.2085423382465264,77.2,0.7453142857142857
KPNA6,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4050724237913528,90.2,0.8905000000000001
LSM3,I,class_i_K562,no_regulatory_info,5.0,0.4,0.2291708278626793,85.8,0.6691
MANF,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4246412727981806,73.4,0.9333
MCM3AP,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4220427281805314,101.0,0.7514642857142857
MEPCE,I,class_i_K562,no_regulatory_info,5.0,0.4,0.43115546107292174,96.2,0.9753285714285714
MRPL27,I,class_i_K562,no_regulatory_info,5.0,0.4,6.740567144447596e-08,118.6,0.6995642857142857
PGAM1,I,class_i_K562,no_regulatory_info,5.0,0.4,0.008232509823099754,99.8,0.8169785714285714
RNPC3,I,class_i_K562,no_regulatory_info,5.0,0.4,0.012444422339045169,54.6,0.7894214285714286
RRM1,I,class_i_K562,feed_forward_target,5.0,0.4,0.001919448438334115,87.6,0.5906071428571428
SEPHS2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.21272230801501896,99.0,0.9608785714285715
SSBP1,I,class_i_K562,no_regulatory_info,5.0,0.4,0.022222936754650657,85.0,0.8185071428571428
SUPT6H,I,class_i_K562,no_regulatory_info,5.0,0.4,0.20977143324646413,78.8,0.4998785714285714
TRPM7,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4189747428521514,83.4,0.7419357142857143
TRRAP,I,class_i_K562,feed_forward_tf,5.0,0.4,0.2292075714049578,95.6,0.5795714285714285
TTC4,I,class_i_K562,no_regulatory_info,5.0,0.4,0.39041974326391937,86.6,0.9576285714285715
YARS2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.025847505957643423,93.4,0.8017857142857142
ZNF468,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4172179684974253,74.8,0.9474642857142858
BCL2L1,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.39982549558862956,56.8,0.94635
BUB1,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.4019507352131768,93.8,0.6945285714285714
BUB1B,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.39179688795729817,64.6,0.7887214285714286
CDC20,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.0009386548847453823,116.2,0.7418071428571429
CDC6,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.21603446937404178,86.0,0.5788214285714286
CHEK1,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.21652207625887937,88.8,0.7454285714285714
GATA1,III,class_iii_K562,mutual_repression,4.0,0.5,0.35315152091249535,76.75,0.6988857142857142
GRB2,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.20878778673485607,89.6,0.8925285714285714
HSF1,III,class_iii_K562,pos_feedback,5.0,0.4,0.1996064310873123,92.4,
MAD2L1,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.00017496721772998215,105.0,0.8019428571428572
MAX,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.41154726888182297,65.2,0.6420714285714286
MED1,III,class_iii_K562,positive_feedback_loop,5.0,0.4,0.22211406528389083,103.0,0.4982642857142857
MYC,III,class_iii_K562,positive_feedback,4.0,0.25,0.26052912617357293,101.0,0.8168214285714285
NANOG,III,class_iii_K562,pos_feedback,5.0,0.4,0.05131822528772183,90.2,
RAD51,III,class_iii_K562,positive_feedback_loop,5.0,0.4,0.20547267426491816,87.0,0.6692142857142857
STAT5A,III,class_iii_K562,pos_feedback,5.0,0.4,0.21317833668541142,79.0,
VHL,III,class_iii_K562,positive_feedback_loop,5.0,0.4,0.013955197447719225,106.0,0.9208999999999999
