cohort,perturbed,circuit_class,topology_type,n_questions,p_yes_mean,p_yes_std,frac_yes_decision,mean_think_tokens
class_i_K562,ADAT2,I,no_regulatory_info,5.0,0.01846624206760943,0.02762641955529397,0.0,86.4
class_i_K562,ANKS6,I,no_regulatory_info,5.0,0.1922404907643795,0.35511946584043463,0.2,112.0
class_i_K562,BCAS2,I,feed_forward_target,5.0,0.232490129256621,0.42685443136523055,0.2,90.4
class_i_K562,BRIX1,I,no_regulatory_info,5.0,0.4388863967731595,0.4866796419238337,0.4,88.2
class_i_K562,CENPW,I,feed_forward_target,5.0,0.3457739618911496,0.4134591427431417,0.4,100.4
class_i_K562,CHMP3,I,no_regulatory_info,5.0,0.04766602464951575,0.06236590400820388,0.0,107.0
class_i_K562,CLK2,I,no_regulatory_info,5.0,0.5416335865855217,0.46082400533098977,0.4,72.2
class_i_K562,COPS4,I,no_regulatory_info,5.0,0.1773866913281381,0.30626749527812624,0.2,98.6
class_i_K562,EIF3F,I,no_regulatory_info,5.0,0.13015049337118398,0.22348444208667842,0.0,128.4
class_i_K562,EIF4G2,I,no_regulatory_info,5.0,0.07556938413346544,0.15672934342741032,0.2,119.0
class_i_K562,EXOSC6,I,no_regulatory_info,5.0,0.08317238320596516,0.1279301268869469,0.0,118.8
class_i_K562,GGPS1,I,feed_forward_target,5.0,0.3500059865415096,0.31153121505797926,0.2,124.2
class_i_K562,GMPS,I,feed_forward_target,5.0,0.08680009698462676,0.14022456413399664,0.0,136.6
class_i_K562,GTF2H1,I,no_regulatory_info,5.0,0.2744785020127892,0.4021399750288106,0.2,111.2
class_i_K562,GTF3C2,I,feed_forward_target,5.0,0.20072560988899468,0.3232646149535174,0.2,127.2
class_i_K562,HNRNPC,I,no_regulatory_info,5.0,0.3634584319973932,0.48392116999587964,0.4,123.2
class_i_K562,IARS2,I,no_regulatory_info,5.0,0.03861225118863913,0.07575427149502961,0.4,119.2
class_i_K562,ISG20L2,I,no_regulatory_info,5.0,0.282410835288465,0.366990664631976,0.2,119.4
