gene,circuit_class,cohort,topology_type,n_questions,frac_yes_decision,p_yes_mean,mean_think_tokens,mean_pearson_sota
ADAT2,I,class_i_K562,no_regulatory_info,5.0,0.0,0.01846624206760943,86.4,0.9466357142857144
ANKS6,I,class_i_K562,no_regulatory_info,5.0,0.2,0.1922404907643795,112.0,0.9217571428571428
BCAS2,I,class_i_K562,feed_forward_target,5.0,0.2,0.232490129256621,90.4,0.5960214285714286
BRIX1,I,class_i_K562,no_regulatory_info,5.0,0.4,0.4388863967731595,88.2,0.6073785714285714
CENPW,I,class_i_K562,feed_forward_target,5.0,0.4,0.3457739618911496,100.4,0.9266142857142857
CHMP3,I,class_i_K562,no_regulatory_info,5.0,0.0,0.04766602464951575,107.0,0.6887428571428572
CLK2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.5416335865855217,72.2,0.9550285714285714
COPS4,I,class_i_K562,no_regulatory_info,5.0,0.2,0.1773866913281381,98.6,0.6986642857142857
EIF3F,I,class_i_K562,no_regulatory_info,5.0,0.0,0.13015049337118398,128.4,0.7725357142857143
EIF4G2,I,class_i_K562,no_regulatory_info,5.0,0.2,0.07556938413346544,119.0,0.6952714285714287
EXOSC6,I,class_i_K562,no_regulatory_info,5.0,0.0,0.08317238320596516,118.8,0.7195142857142857
GGPS1,I,class_i_K562,feed_forward_target,5.0,0.2,0.3500059865415096,124.2,0.9739642857142857
GMPS,I,class_i_K562,feed_forward_target,5.0,0.0,0.08680009698462676,136.6,0.8302571428571428
GTF2H1,I,class_i_K562,no_regulatory_info,5.0,0.2,0.2744785020127892,111.2,0.5419714285714285
GTF3C2,I,class_i_K562,feed_forward_target,5.0,0.2,0.20072560988899468,127.2,0.8922928571428572
HNRNPC,I,class_i_K562,no_regulatory_info,5.0,0.4,0.3634584319973932,123.2,0.6934357142857143
IARS2,I,class_i_K562,no_regulatory_info,5.0,0.4,0.03861225118863913,119.2,0.6416428571428572
ISG20L2,I,class_i_K562,no_regulatory_info,5.0,0.2,0.282410835288465,119.4,0.7453142857142857
KPNA6,I,class_i_K562,no_regulatory_info,5.0,0.0,0.021156470058485866,120.6,0.8905000000000001
LSM3,I,class_i_K562,no_regulatory_info,5.0,0.4,0.3711410887539387,77.8,0.6691
MANF,I,class_i_K562,no_regulatory_info,5.0,0.2,0.3208066897660359,108.6,0.9333
MCM3AP,I,class_i_K562,no_regulatory_info,5.0,0.4,0.39693539099097386,119.8,0.7514642857142857
MEPCE,I,class_i_K562,no_regulatory_info,5.0,0.4,0.5001747512218593,101.6,0.9753285714285714
MRPL27,I,class_i_K562,no_regulatory_info,5.0,0.0,0.013746875605055386,109.2,0.6995642857142857
PGAM1,I,class_i_K562,no_regulatory_info,5.0,0.0,0.013761431863348151,114.2,0.8169785714285714
RNPC3,I,class_i_K562,no_regulatory_info,5.0,0.2,0.274799539027254,93.2,0.7894214285714286
RRM1,I,class_i_K562,feed_forward_target,5.0,0.2,0.20329414545558394,133.0,0.5906071428571428
SEPHS2,I,class_i_K562,no_regulatory_info,5.0,0.0,0.1931010962704363,87.2,0.9608785714285715
SSBP1,I,class_i_K562,no_regulatory_info,5.0,0.0,0.11913621756248176,139.2,0.8185071428571428
SUPT6H,I,class_i_K562,no_regulatory_info,5.0,0.0,0.028461060114204885,130.2,0.4998785714285714
TRPM7,I,class_i_K562,no_regulatory_info,5.0,0.2,0.22858079726072447,89.2,0.7419357142857143
TRRAP,I,class_i_K562,feed_forward_tf,5.0,0.4,0.4169062689645216,108.0,0.5795714285714285
TTC4,I,class_i_K562,no_regulatory_info,5.0,0.2,0.287631578387618,82.0,0.9576285714285715
YARS2,I,class_i_K562,no_regulatory_info,5.0,0.0,0.13311504830777884,106.4,0.8017857142857142
ZNF468,I,class_i_K562,no_regulatory_info,5.0,0.4,0.2101200701457074,94.6,0.9474642857142858
BCL2L1,III,class_iii_K562,positive_feedback_bistable,5.0,0.2,0.22022084856911678,126.6,0.94635
BUB1,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.16189683108305672,114.0,0.6945285714285714
BUB1B,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.17108710353754458,116.2,0.7887214285714286
CDC20,III,class_iii_K562,positive_feedback_bistable,5.0,0.6,0.3702226313349488,131.0,0.7418071428571429
CDC6,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.31742567513969105,118.6,0.5788214285714286
CHEK1,III,class_iii_K562,positive_feedback_bistable,5.0,0.0,0.12248711856082081,106.4,0.7454285714285714
GATA1,III,class_iii_K562,mutual_repression,4.0,0.5,0.5161206777716956,94.75,0.6988857142857142
GRB2,III,class_iii_K562,positive_feedback_bistable,5.0,0.2,0.2638396143913269,138.2,0.8925285714285714
HSF1,III,class_iii_K562,pos_feedback,5.0,0.4,0.3396449748426676,131.2,
MAD2L1,III,class_iii_K562,positive_feedback_bistable,5.0,0.2,0.0983791270158548,110.2,0.8019428571428572
MAX,III,class_iii_K562,positive_feedback_bistable,5.0,0.4,0.5768737554550171,97.8,0.6420714285714286
MED1,III,class_iii_K562,positive_feedback_loop,5.0,0.4,0.5055520854890346,103.2,0.4982642857142857
MYC,III,class_iii_K562,positive_feedback,4.0,0.5,0.6220216155052185,117.25,0.8168214285714285
NANOG,III,class_iii_K562,pos_feedback,5.0,0.4,0.24674661413642268,124.8,
RAD51,III,class_iii_K562,positive_feedback_loop,5.0,0.4,0.2815180503761848,117.8,0.6692142857142857
STAT5A,III,class_iii_K562,pos_feedback,5.0,0.4,0.3993643086403608,120.2,
VHL,III,class_iii_K562,positive_feedback_loop,5.0,0.6,0.7132021680474281,133.8,0.9208999999999999
